id,appTitle,userName,date,score,text,original_text,bug_report
102107,Amazon Shopping,Trena Law,"April 29, 2019",5,i love it it a great place to shop for everyone plus for christmas make great thing i really love it so doe my kid can not wait to order stuff off here it going to be amazing the stuff do not take long to come in either so excited about getting amazon it great hope my friend love it to and family i get stuff for my grandad my grandad will be excited to my husband like it to were my husband can het my husband tool and stuff my husband can not wait to start ordering of here so happy we love it my author love it to yay,i love it its a great place to shop for everyone pluss for christmas makes great things i really love it so does my kids cant wait to order stuff off here its going to be amazing the stuff dont take long to come in eather so excitied about getting Amazon its great hope my friends love it to and family i get stuff for my grandkids they will be excited to my husband likes it to were he can het hes tools and stuff he cant wait to start ordeing ogf here so happy we love it my dauthers love it to yay,
102109,Amazon Shopping,Tashikay Minter,"April 29, 2019",1,i avery disappointed i order a galaxy s case for my phone first of all it took over week to come and when i did get it it did not fit my phone but it say it for a galaxy s i am so pissed about this,"im very disappointed i order a Galaxy S10 case for my phone, first of all it took over 3 weeks to come and when i did get it it didn't fit my phone. But it says its for a galaxy s10. i am so pissed about this.",
102111,Amazon Shopping,Charles Sizer,"April 29, 2019",1,did not have to use any other application beside internet to check on shipment this is just to force ad on you will instal,didn't have to use any other app beside internet to check on shipments. this is just to force ads on you. will uninstall.,
102113,Amazon Shopping,Jennifer Lyons,"April 29, 2019",5,a described and packaged well,as described and packaged well.,
102114,Amazon Shopping,Dee Phillips,"April 29, 2019",5,addicted favorite place to shop,"Addicted, favorite place to shop 😍😍",
102115,Amazon Shopping,Ian Ceripulo,"April 29, 2019",1,poor service in italy,poor service in italy,
102120,Amazon Shopping,Derek Beaton,"April 29, 2019",5,most of the time my parcel get here very quick and i have not had a broken one yet brilliant,"most of the time my parcels get here very quick, and I haven't had a broken one yet. Brilliant",
102121,Amazon Shopping,Graces Searle,"April 29, 2019",4,good and doe glitch,Good and doesnt glitch,
102124,Amazon Shopping,R Javed,"April 29, 2019",1,you now have to pay for returning your item,YOU NOW HAVE TO PAY £3.99 FOR RETURNING YOUR ITEM 🤬,
102125,Amazon Shopping,Stephen Arnold,"April 29, 2019",5,can not live without it,Can't live without it.,
