id,appTitle,userName,date,score,text,original_text,bug_report
502101,Amazon Shopping,Nick Ghantous,"February 18, 2019",4.0,we will see trying to order look up or order something tight now,"We'll see, trying to order look up or order something tight now...",
502102,Amazon Shopping,Ted Brewer,"February 18, 2019",5.0,love amazon shopping you can find anything that you are looking for,"Love Amazon shopping, you can find anything that you are looking for.",
502103,Amazon Shopping,,"February 18, 2019",5.0,it a good application,it a good app.,
502105,Amazon Shopping,Sarabeth Reinker,"February 3, 2019",4.0,i love shopping on amazon and the application is pretty good only problem is that occasionally when i try to add something to my cart or buy my cart now on the application my cart doe neither no mater how hard i press on my phone also sometimes have problem when trying to see a picture larger after clicking on my cart i suddenly get a message that image is not available other than that i am really happy with amazon i especially love amazon smile i wish they would incorporate amazon smile into an application thank you,I love shopping on Amazon & the app is pretty good. Only problem is that occasionally when I try to add something to my cart or buy it now on the mobile app it does neither no mater how hard I press on my phone. Also sometimes have problems when trying to see a picture larger. After clicking on it I suddenly get a message that image isn't available. Other than that I'm really happy with Amazon. I especially love Amazon Smile. I wish they would incorporate it into an app. Thank you.,
502106,Amazon Shopping,Jon D,"February 3, 2019",2.0,i only allow notification for call text and shipingpayment alert across all aps notification mean my attention is truly needed notification apparently can not afford to donate to smile if i do not allow notification recommending stuff i do not plan to buy i will keep checking out from my pc for now give me time to think and decide not to buy thing anyway,"I only allow notifications for calls, texts, and shipping/payment alerts across all apps. notifications mean my attention is truly needed. They apparently can't afford to donate to smile if i don't allow notifications recommending stuff I don't plan to buy. I'll keep checking out from my PC for now. Gives me time to think and decide not to buy things anyway.",
502107,Amazon Shopping,PyroKimmi,"February 3, 2019",5.0,love it i would like to add some request for helpful update an option of moving multiple item at once to other list permitting kept wish-list item imagedetails visible from total disappearance if listing disappears it reminds me of what was desired until it appears again an option to keep our default wish-list from accidentally being deleted it happened once and i forgot everything i added to it please and thank you,"LOVE IT!!! I would like to add some requests for helpful updates. - An option of moving multiple items at once, to other lists. - Permitting kept wishlist items [image/details] visible from total disappearance if listing disappears; it reminds me of what was desired until it appears again. - An option to keep our default wishlist from accidentally being deleted. It happened once and I forgot everything I added to it. Please and thank you!!!",
502108,Amazon Shopping,Fermin Peregrin,"February 14, 2019",5.0,excellent easy to use application it has the right tool to allow to find exactly what are you looking for they help you if you have any problem with an order and you can apply for the amazon store card that allows you to purchase expensive item and pay it off a little bit every month i love it and i am so happy with this application and amazon,"Excellent, easy to use app. It has the right tools to allow to find exactly what are you looking for. They help you if you have any problem with an order and yoy can apply for the amazon store card that allows you to purchase expensive items and pay it off a little bit every month. I love it and I am so happy with this app and amazon.",
502109,Amazon Shopping,Kerry's Glam Bag,"February 2, 2019",5.0,oh my god why have not i been using this sooner if i need anything not only doe amazon have this but you get this so quick this make my head spin laugh out loud in a good way obviously,"OMG WHY HAVEN'T I BEEN USING THIS SOONER! if I need anything not only does Amazon have it, but you get it so quick it makes my head spin. (lol in a good way obviously)",
502110,Amazon Shopping,,"February 12, 2019",1.0,i loved this application and spent a lot on amazon over the year and have had prime membership all along but for the past while thing have got bad delivery are never on time and delivery do not respond to mail so i cancelled prime now i went to buy an item and the price is but delivery offer free delivery for order over that is an absolute con there is nothing i can buy for penny so i am deleting this application now and will spend my valuable money elsewhere will not be back,"I loved this app and spent A LOT on Amazon over the years and have had Prime membership all along, but for the past while things have got bad. Deliveries are never on time and they don't respond to emails. So I cancelled Prime. Now I went to buy an item and the price is 19.97, but they offer free delivery for orders over 20.00. That's an absolute con! There is nothing I can buy for 3 pence. So I am deleting the app now and will spend my valuable money elsewhere. Won't be back.",
502111,Amazon Shopping,,"February 18, 2019",1.0,i tried this application and was confused after i signed up i tried chat and customer service called but the individual was not knowledgeable first and definitely the last time horrible since updated i can not see size detail on plus size woman coat i am removing but before i remove from my device i am reactivating this amazon account then remove this application,I tried this app and was confused after I signed up. I tried Chat and customer service called but the individual was not knowledgeable. First and DEFINITELY THE LAST TIME! HORRIBLE SINCE UPDATED I CANNOT SEE SIZE DETAILS ON 2 PLUS SIZE WOMEN COATS. I AM REMOVING BUT BEFORE I REMOVE FROM MY DEVICE I AM DEACTIVATING THIS AMAZON ACCOUNT! THEN REMOVE THIS 🐂💩 APP!,
