id,appTitle,userName,date,score,text,original_text,bug_report
344444,Facebook,ally ne nimmo riddell,"April 14, 2019",5,it will not let me post,it wont let me post,
344452,Facebook,Joseph Reina,"April 14, 2019",1,for month now the application load the same news feed at the top the application can be week old also when i click on comment to either read or write a comment i get blank gray comment bubble just constantly flashing over and over and i can not write or read any of the comment sometimes i will get a something went wrong and no the post has not been deleted what i really can not stand is the constantly showing me i have notification i go and it is the same notification i have clicked on hour ago so many problem,"for months now the app loads the same news feed at the top it can be weeks old. also when I click on comments to eaither read or write a comment I get blank gray comment bubbles just constantly flashing over and over and I cant write or read any of the comments. sometimes I'll get a ""something went wrong"" and no the post has not been deleted. what I really cant stand is the constantly showing me I have notifications I go and it's the same notification I've clicked on 3 hours ago. so many problems",
344458,Facebook,Mango Photography,"April 14, 2019",1,face-on instagram whats application is down what,"Facebook , Instagram , whats app is down . what !??",
344459,Facebook,Joe Mercy,"April 14, 2019",1,what the hell is wrong with this application seriously get off your ass and fix this application a soon a possible,What the hell is wrong with this app? Seriously get off your asses & fix it asap!!!!,
344466,Facebook,SARJEETKUMAR. All-rounder,"April 14, 2019",5,nice application to grow any thing,nice app to grow any thing,
344460,Facebook,Mrs.R F,"April 14, 2019",1,everytime i open all post are day old when i click on most recent it show day old post seriously i have to instal and deinstall the application just to see new post,Everytime I open all posts are 3-4 days old. when I click on most recent it shows 5 days old posts. Seriously I have to uninstall & reinstall the app just to see new post.,
344471,Facebook,Paul Ross,"April 14, 2019",4,this application is greatest this application is and still we have no audio sticker like the yahoo messenger payback year,This app is great...but It's 2019 and still we have no Audio stickers like the yahoo messenger wayback year 2000,
344472,Facebook,Jezza Mae Gaerlan Ipan,"April 14, 2019",5,i love this aps,i love this apps.,
344473,Facebook,Abdul Halim,"April 14, 2019",1,i can not open this aps after update please fix this,I cannot open this apps after update Please fix this..,
344495,Facebook,Partha swarup ray,"April 14, 2019",5,very helpful for friendship,vry helpful for frndship,
344477,Facebook,susiladevi selva,"April 14, 2019",5,for an older version,For an older version,
344486,Facebook,Nathan Malbrue,"April 14, 2019",5,i recommend this to day member like me the american legion and the wounded warrior program also minority veteran sema americorps alumnus too couture partner,"I recommend this to DAV Members like me, the American Legion and the Wounded Warriors Program also Minority Veterans. FEMA AmeriCorps Alumni too. YouTube Partner",
344496,Facebook,Anurag kumar,"April 14, 2019",1,do not crop option unload picture,dont crop option upload picture,
344497,Facebook,Liz Prout,"April 14, 2019",1,terrible application the android version lack major compared to the io version the android version has so many glitch now that the android version almost unusable most recent feed is definitely not most recent and the android version will randomly reload and send you strait to the beginning of the news feed even if you are in the middle of watching a video reading an article or writing something and now the android version will not even load post you can scroll through about or and then the android version just stop and there is nothing left to see,"terrible app. the Android version lacks majorly compared to the iOS version. it has so many glitches now that its almost unusable. Most recent feed is definitely not most recent, and it will randomly reload and send you strait to the beginning of the news feed even if you are in the middle of watching a video, reading an article, or writing something. and now it wont even load posts. you can scroll through about 5 or 6 and then it just stops and there is nothing left to see.",
344500,Facebook,Ash Frost,"April 14, 2019",1,ad in the middle of using face-on now,ads in the middle of using Facebook now,
344501,Facebook,A. Weed,"April 14, 2019",1,face-on has accused me of doing something i did not even do now i could not like any thing i am not happy at all with using it most people that use it do silly stuff on face-on i do believe the fcc is watching me on face-on,Facebook has accused me of doing something I didn't even do Now I couldn't like any thing I'm not happy at all with using it Most people that use it do silly stuff on Facebook I do believe the FCC is watching me on Facebook,
344504,Facebook,Jan Hassaan Gul,"April 14, 2019",5,instagram is better than face-on,Instagram is better than facebook,
344506,Facebook,Ovimani Ovi,"April 14, 2019",5,wow so good aps,wow so good apps,
344510,Facebook,A Google User,"April 14, 2019",1,updating without any improvement can you add skip cropping option,Updation without any improvement. Can you add skip cropping option?,
344512,Facebook,Bharat Kumbhar,"April 14, 2019",5,and for ecgd,",५५&_#""भु उच्च उतार च तुम्हीसुद्धा, ई सह उभसडुचढढढ भु बंड उ,ठषसूभभ for ycxg""d",
344517,Facebook,Sai kiran Gajwelli,"April 14, 2019",4,ok but slow ha,OK but slow ha🤔,
344518,Facebook,Rodney Pitchen,"April 14, 2019",5,its not working now do not know why,its not working now dont know why.?,
344522,Facebook,Ahmad Khan,"April 14, 2019",5,it is good application,it is good app,
344527,Facebook,Ovy Wong,"April 14, 2019",5,i can not access some of the function i try clear the data and i can not login tried deinstall and still can not login please help it keep saying to check my internet connection fixedthanks,"i cannot access some of the function. i try clear the data and i cannot login. tried reinstall and still cannot login. please help. it keep saying to check my internet connection. fixed,thanks.",
344532,Facebook,MD SHAHNAWAZ HUSSAIN,"April 14, 2019",1,very disappointed with face-on problem not working properly,Very disappointed with fb. Problem not working properly,
344539,Facebook,Richard Adams,"April 14, 2019",1,suck half star ratingand it destroys life,sucks half star rating.and it destroys lives,
344540,Facebook,Rukayat Idris,"April 14, 2019",1,it is normally corrupt,it is normally cortupt,
344541,Facebook,Benny Lee,"April 14, 2019",1,april face-on was slow and did not refresh properly layout now i could not even login back please fix this connection issue not the st time,"14-April: FB was slow and did not refresh properly. Logout, now I could not even login back! Please fix this connection issue. Not the 1st time!",
344542,Facebook,kd's thug-lyfe,"April 14, 2019",5,i would like to be a good luck with that application,I would like to be as good luck with that application,
344544,Facebook,Seas haw,"April 14, 2019",3,face-on open comment was very slow and mostly failed to reload even though i use data or wife,Facebook open comment was very slow! and mostly failed to reload. eventhought i use data or wifi,
344553,Facebook,M Tanveer,"April 14, 2019",5,love is life love is my family,Love is life....my love is my family,
344555,Facebook,Marthie Ingram,"April 14, 2019",1,face-on has been horrible the last month can not get picture to open most the time take forever to load comment and keep freezing up,"Facebook has been horrible the last month. Can't get pictures to open most the time, takes forever to load comments, and keeps freezing up.",
344559,Facebook,A Google User,"April 14, 2019",1,what happened again i can not logged in it was just automatically updated then when i tried to log in it was not working,"What happened again. I can't logged in. It was just automatically updated then when I tried to log in, it wasn't working.",
344560,Facebook,Mohd Safri,"April 14, 2019",1,after update there is a non-functioning site vivo,after update there is a non-functioning site - vivoy55,
344562,Facebook,Minn Ayuka,"April 14, 2019",3,when we can access this application again since this application has been down for quite long time,when we can access this application again since it has been down for quite long time?,
