id,appTitle,userName,date,score,text,original_text,bug_report
600004,Facebook,,"February 15, 2019",5,i am going to say this if not for face-on about percent of the of the people on my friend list i have been friend since grade school i would have no way of knowing where they are in life today so that being said i am very thankful for the face-on application thank you again face-on and development team i see people pugin face-on down all the time i got to say this to people if you do not like the application simply do not use the application,i am going to say this if not for facebook about  percent of the of the people on my friends list i have been friends since grade school i would have no way of knowing where they are in life today so that being said i am very thankful for the facebook application thank you again facebook and development team. i see people putin facebook down all the time i got to say this to people if you do not like the application simply do not use the application !,
600006,Facebook,Ivan Ivanović,"February 18, 2019",1,news feed all time do refreshing when switch to other aps for doing something else and when back to face-on application news feed refreshed return me to beginning i look at half then application return me on the beginning and i need to scroll down to look where i stopped also in news feed i see everything except my friend post or constantly repeat to show me past post i already saw or liked what is the point,"news feed all time do refreshing when switch to other apps for doing sometihng else, and when back to facebook application, news feed refreshed, return me to beggining. i look at half, then application return me on the begining, and i need to scroll down to look where i stoped. also, in news feed i see everything exept my friends posts, or constantly repeat to show me past posts i already saw or liked. what is the point?",
600007,Facebook,Sherry Hassanali,"February 15, 2019",1,face-on is giving me problem face-on keep saying can not connect to internet please check your connection i have very good wife so this can not be a problem on my side since my other aps like couture work fine please fix this,"facebook is giving me problems ( facebook keeps saying cannot connect to internet, please check your connection. i have very good wifi so this cannot be a problem on my side since my other apps like youtube work fine. please fix this.",
600008,Facebook,,"February 14, 2019",1,zuckerberg disabled my account today and did not even give me any reason why i do not engage to politics which they are strict about now i lost all my goole playstore game account that were tied with my face-on piece of advice do not use face-on to register your game or any application where you can be banned randomly,"zuckerberg disabled my account today and did not even give me any reason why. i do not engage to politics which they are strict about. now i lost all my google playstore game accounts that were tied with my facebook. piece of advice, do not use facebook to register your games or any application where you can be banned randomly.",
600010,Facebook,Ciara Skye,"February 15, 2019",1,face-on in general will not allow you to change your primary email while instagram and twitter are loading easily face-on usually act like internet is not available there is no way to delete empty photo album and there is no way to move photo from one album to another it doe not show the most recent post it show story from like or day ago you can not use the view a on your profile anymore so i can not see what boyfriend see,"facebook in general will not allow you to change your primary email. while instagram and twitter are loading easily, facebook usually acts like internet is not available. there is no way to delete empty photo albums. and there is no way to move photos from one album to another. it does not show the most recent posts, it shows stories from like  or  days ago. you cannot use the ""view as"" on your profile anymore, so i cannot see what non-friends see.",
600009,Facebook,Paul B,"February 14, 2019",3,it would be wonderful to be able to make myself invisible so i am not being hit left and right making it almost impossible to keep up with it would be absolutely wonderful to set yourself at least to visible if not unavailable so people can message one another and keep up with another issue is spam and advertisement i have not signed up for whereas you have some wonderful site you can sign up for the very last thing is people who are not real there are both with on background surface,"it would be wonderful to be able to make myself invisible so i am not being hit left and right making it almost impossible to keep up with. it would be absolutely wonderful to set yourself at least to visibe, if not unavailable so people can message one another and keep up with. another issue is spam, and advertisements i have not signed up for, whereas you have some wonderful sites you can sign up for. the very last thing is people who are not real. there are bots with # on background surfaces",
600011,Facebook,A Google User,"February 17, 2019",4,i am updating my review because now i can save my video and see everyone else is video ok so why can not my friend share my post anymore i have not changed any setting and i can not even find a share setting i goole it and it saying to make it public i do not want to do that if that is the case why have my stuff private only for my friend what would be the point of the private profile plus i can not change it,"i am updating my review because now i can save my videos and see everyone else is videos. ok so why cannot my friends share my post anymore? i have not changed any settings and i cannot even find a ""share"" setting. i google it and it saying to make it public. i do not want to do that. if that is the case why have my stuff private only for my friends. what would be the point of the private profile. plus i cannot change it.",
600012,Facebook,A Google User,"February 18, 2019",1,useless ad ad ad ad ad ad ad ad ad that is all it is now you can not actually see what is posted by people you know anymore constant random closure can not click on picture reliably decides to jump back to the top at random time it is pretty much the core function of the application and you can not get the application right month on still exactly the same you inept idiot i do not need suggest friend n my notification list thanks,"useless ads ads ads ads ads ads ads ads ads that is all it is now. you cannot actually see what is posted by people you know anymore. constant random closures, cannot click on pictures reliably, decides to jump back to the top at random times. it is pretty much the core function of the application and you cannot get the application right.  months on. still exactly the same. you inept idiots.  i do not need suggest friends n my notifications list thanks!",
600013,Facebook,Kazair Keaton,"February 15, 2019",1,i am unable to receive any notification on face-on when i try to go to my notification the bell icon my notification the bell icon say can not connect retry i have tried on grin and on wife i made sure all the permission on the application is on and i have looked at video regarding this issue and nothing has worked please fix,"i am unable to receive any notifications on facebook. when i try to go to my notifications (the bell icon) my notifications (the bell icon) says cannot connect, retry. i have tried on grin and on wi-fi. i made sure all the permissions on the application is on and i have looked at videos regarding this issue and nothing has worked. please fix!",
600016,Facebook,Dawn Keiser,"February 16, 2019",1,most recent feed doe not actually show most recent post most recent post jump around from post from a few minute ago and the next post will be from day ago also most recent feed will not load properly a few post will show and then most recent feed will stop loading i have reported this through the application at least fing time and these moron just send a b automated response telling me to report any issue listen to what user actually fing want and stop being stupid,"most recent feed does not actually show most recent posts. most recent posts jump around from posts from a few minutes ago and the next post will be from days ago. also most recent feed will not load properly, a few posts will show and then most recent feed will stop loading. i have reported this through the application at least  f***ing times and these morons just send a bs automated response telling me to report any issues. listen to what users actually f***ing want and stop being stupid",
600014,Facebook,Geraldine Anthony,"February 16, 2019",2,feb since update face-on doe not work properly can not like or comment on post not allowed according to face-on i woke up and it was like it this morning last had to do this in the last time face-on messed up cleaned updated but nothing seems to work so uninstaled and installing,"feb  - since update facebook does not work properly. cannot like or comment on posts, not allowed according to facebook. i woke up and it was like it this morning! last had to do this in  the last time facebook messed up! cleaned, updated but nothing seems to work so uninstalled and reinstalling!",
600015,Facebook,Joanne Napolitano,"February 15, 2019",1,my experience with face book is that face book took away human contact to actually touch and see each other to see reaction from what is being said to what actually is and want to say to each other a each other show each other true emotion by what and how it is being said i thought face-on would help folk see long forgotten family or new to the family it made some forget how we sound to each other or how we walk talk or smell how we have grown what we have experienced we ups or down life,"my experience with face book is that face book took away human contact. to actually touch and see each other, to see reactions from what is being said to what actually is and want to say, to each other as each other show each other true emotions by what and how it is being said. i thought facebook would help folks see long forgotten family or new to the family. it made some forget how we sound to each other or how we walk, talk or smell. how we have grown, what we have experienced, we ups or downs. life",
600017,Facebook,Nagaraj Beereddy,"February 17, 2019",1,i wish i had any option to rare below but this is the least one to rate that is just because you guy stop our annul sabena to do our annul sabena job i insist you guy to trace out the terrorist element and close you guy account then you guy would be much valued jai hind,"i wish i had any option to rare below  but this is the least one to rate. that is just because you guys stop our anshul saxena to do our anshul saxena job! i insist you guys to trace out the terrorist elements and close you guys accounts, then you guys would be. much valued. jai hind!",
