id,appTitle,userName,date,score,text,original_text,bug_report
316894,Facebook,A Google User,"March 15, 2019",3.0,comment section comment section can not be opened comment section comment section always show unknown error,"Comment section Comment section cannot be opened. It always show ""unknown error""",
316914,Facebook,,"March 16, 2019",5.0,great just great,great!!!! just great!!!,
316903,Facebook,,"March 16, 2019",5.0,i love this application because this application let me keep in touch with family and friend this application also is very informative,I love this app because it lets me keep in touch with family and friends it also is very informative.,
316909,Facebook,,"March 16, 2019",5.0,high is currently ki ye dg j,hdgj is currently ki ye DG j,
316919,Facebook,Adam Jacobs,"March 16, 2019",1.0,this application suck nothing ever stay downloaded sticker my setting force close constantly sticker my setting force never notifies me when i get a message until about people message me then sticker my setting force jam my phone up trying to make my kington go off time all at once i do not think its this difficult to fix bug on an application i have aps with a lot le funding than this one with no glitch and when aps is one aps fix it not make it worse get your act together or your gon na end up like space push left agenda,"This app sucks, nothing ever stays downloaded (stickers my settings) force closes constantly, it never notifies me when i get a message until about 7 people message me then it jams my phone up trying to make my ringtone go off 7 times all at once, I don't think its this difficult to fix bugs on an app, I have apps with a lot less funding than this one with NO GLITCHES and when their is one they fix it not make it worse, get your act together or your gonna end up like myspace! Pushes left agenda.",
316934,Facebook,Xander Lovatic,"March 16, 2019",5.0,live for samsung android user please make an update that samsung j user can do live streaming,LIVE for SAMSUNG Android Users Please make an update that Samsung J1 Users can do Live Streaming!,
316939,Facebook,,"March 16, 2019",5.0,i love this application,I love this app 👌✌😘😍,
316918,Facebook,,"March 16, 2019",4.0,tail mama masol ya,taibol mama tasol ya,
316942,Facebook,bi amma,"March 16, 2019",4.0,nice application for saving memory,nice app for saving memories,
316950,Facebook,,"March 16, 2019",4.0,i can unload more photo in one time better than other face-on aps,I can upload more photos in one time..its better than other facebook apps,
316949,Facebook,Ding Legaspi,"March 16, 2019",4.0,happiest experience nd anti stress,happiest experience nd anti stress,
316944,Facebook,The fakrul Ltd,"March 16, 2019",5.0,please subscribe my couture cheval,plz subcrive my youtube chenal,
316953,Facebook,,"March 15, 2019",4.0,very good aps i love it please upgrade,very good apps I love it plz upgrade,
316958,Facebook,dave williams,"March 15, 2019",5.0,so all a you know it is been a bad few year but it is got to be looking up now i hope all go well for all and everyone wish come true with my wonderful husband all is possible,so all as you know it's been a bad few years but it's got to be looking up now I hope all goes well for all and everyone wishes come true with my wonderful husband all is possible,
316961,Facebook,,"March 15, 2019",1.0,so bad aps my like button month not working time report but not response vary bad aps,so bad apps my likes button 5months not working 100time report but not response vary bad apps,
316962,Facebook,,"March 15, 2019",1.0,face-on is a longest application,Facebook is a longest app,
316965,Facebook,,"March 15, 2019",5.0,i think tim tok is going to take yours place and i do not want this to happen,I think tik tok is going to take yours place and I don't want this to happen,
316973,Facebook,Karan Singh,"March 15, 2019",3.0,no one can tag me in any post before asking me,No onE can tag me in any post before asking me,
316970,Facebook,,"March 15, 2019",4.0,its a good for,its a good for,
316980,Facebook,A Google User,"March 15, 2019",5.0,why can not i post anything or react to thing fix this cause ever since this afternoon face-on has been acting idiot my friend are reporting the same issue,why cant i post anything or react to things fix this cause ever since this afternoon Facebook has been acting goofy my friends are reporting the same issue...,
316987,Facebook,,"March 15, 2019",5.0,best application to keep together,best app to keep together,
316991,Facebook,A.M.Ashraf Sait,"March 16, 2019",5.0,i am satisfied on your service,I'm satisfied on your service,
