id,appTitle,userName,date,score,text,original_text,bug_report
222849,Facebook,Zunayed Saad,"May 21, 2019",5.0,we want dark mode in the face-on too,we want dark mode in the Facebook too...😊,
222842,Facebook,Mahadi Hasan,"May 21, 2019",1.0,my application is automatically stopped,My app is automatically stopped,
222854,Facebook,Paja Momcilovic,"May 21, 2019",1.0,face-on updating even tho i disables auto update,facebook updating even tho i disables auto updates.,
222857,Facebook,Ivy Glory Arsenal,"May 21, 2019",4.0,i really love this application this application was really useful,"i really love this application ,it was really useful",
222866,Facebook,Ronald Manickam,"May 21, 2019",1.0,the face-on application lately stopped working and appears to indicate no internet when all other aps are working i need to instal when this happens please provide a solution,The FB app lately stopped working and appears to indicate no Internet when all other apps are working. I need to uninstall when this happens. Pls provide a solution.,
222875,Facebook,Keddy Ambau,"May 21, 2019",3.0,after update i can not see my friend story much lay expectialy story that involve video,After update i can't see my friends story...too much laggy expectially story that involve video,
222886,Facebook,Alan Thomas Moolayil,"May 21, 2019",1.0,i can not watch my nested its not been loaded due to language problem showing we are having trouble with setting up face-on in english united kingdom,I Cannot Watch My Newsfeed Its Not Been Loaded Due To Language Problem Showing 'We are Having Trouble with setting up Facebook in English (United Kingdom),
222892,Facebook,MD Rifat Ahmed,"May 21, 2019",5.0,i think it is a greater than any other social network and i enjoy it when l contacted with my friend circle,I think it's a greater than any other social network and I enjoy it when l contacted with my friends circle.,
222898,Facebook,SANJAY MAHATO,"May 21, 2019",5.0,l q why e why why the day atuser l,"l, q y E. y. y the day @last l",
222899,Facebook,Margaret Iziren,"May 21, 2019",5.0,face-on is trying it is best,Facebook is trying it's best.,
222901,Facebook,A Google User,"May 21, 2019",4.0,i do not know why face-on disabled my real account and do not allow me to use my real name please fix my real account,I don't know y Facebook disabled my real account and don't allow me to use my real name plz fix it,
222916,Facebook,Suryakant Sharma,"May 21, 2019",5.0,jal hi ivan hai save water for further,jal hi jivan hai save water for further,
222917,Facebook,Alamin Khan Alamin,"May 21, 2019",5.0,i am loving it,I am loveing it...,
222921,Facebook,Hasan Jamal,"May 21, 2019",1.0,this new update very bad,This new update very bad!,
222923,Facebook,Duke Maranga,"May 21, 2019",5.0,its better browsing face-on with the face-on android application its an awesome experience,Its better browsing facebook with the facebook android app. Its an awesome experience,
222925,Facebook,Oluwabunmi Grace,"May 21, 2019",1.0,i can not view comment and i can not comment,I cant view comment and I cant comment,
222933,Facebook,Shatabdi Sarkar,"May 20, 2019",1.0,i am unable to launch application on my phone android firmware application is getting freeze and then crash,"I am unable to launch application on my phone (Android, firmware 5.1.1). Application is getting freeze and then crash.",
222934,Facebook,Soni kumari Kumari,"May 20, 2019",5.0,great awesome good,great.......... .......... .....osm............ ....... ................... good. ...............,
222935,Facebook,Smarty Khan,"May 20, 2019",5.0,nice application i like face-on,nice app I like Facebook,
