id,appTitle,userName,date,score,text,original_text,bug_report
626579,Google,,"February 26, 2019",4,very good guidance application,very good guidance application,
626580,Google,,"February 25, 2019",5,best search engine in the world,best search engine in the world,
626581,Google,,"February 19, 2019",1,excellent cultivar for small garden,execellent cultivars for small gardens,
626582,Google,Liz Rodriguez,"February 25, 2019",5,great nothing need to be said,great nothing needs to be said,
626583,Google,,"February 18, 2019",5,very nice thanks to goole,very nice thanks to google,
626584,Google,,"February 23, 2019",5,fast secure i am impressed,"fast, secure. i am impressed.",
626585,Google,,"February 24, 2019",5,best i have ever saw,best i haved ever saw,
626606,Google,VIKU SHARMA,"February 26, 2019",5,goole is a wold best application i love goole,google is a wold best application i love google,
626586,Google,technical india,"February 19, 2019",3,better than vivo browser,better than vivo browser,
626607,Google,Matthew Tsang,"February 25, 2019",1,my goole feed is blank and has nothing what is going on,my google feed is blank and has nothing. what is going on?,
626609,Google,Anju Bala,"February 27, 2019",5,very helpful application for everyone very nice application for me and everyone,very helpful application for everyone. very nice application for me and everyone ,
626610,Google,Harish Kumar,"February 27, 2019",4,kiss kiss c,"?,kiss, , ,? ,kiss c , ! ,,,,,, ,,,,,,,,",
626621,Google,Afzal Hossain,"February 25, 2019",5,very good application,very good application.,
626627,Google,,"February 25, 2019",5,this is the best application in the best application we will get all information location and every thing that we need thank you goole,this is the best application . in the best application we will get all information . location and every things that we need. thank you google. ,
626628,Google,Bàrry Evans,"February 25, 2019",5,not use it a lot but really easy to usemuch quicker than typing and instant response,"d'not use it a lot but really easy to use,much quicker than typing. and instant response.",
626629,Google,Durand Victor,"February 19, 2019",5,wow beautiful work impeccable integration transition user interface access to information customization and much more keep up the good work,"wow beautiful work , impeccable integration / transition , user interface , access to information , customization , and much more . keep up the good work !",
626630,Google,Lolit Regota,"February 28, 2019",5,please keep all my privacy or important matter specially picture my account identification etcthank you and god blessed u all always,please keep all my privacy or important matter specially pictures my accounts identification etc.thank you and god blessed us all always.,
626633,Google,DJ Starkey,"February 19, 2019",5,this u a great tool for many thing try this and i am sure you will like this,this us a great tool for many things. try this and i am sure you will like this.,
626634,Google,Christina J Martinez-Lopez,"February 23, 2019",5,i like having a go to application that you ask it for thing and you shall receive it,"i like having a go to application that you ask it for things, and you shall receive it!",
626635,Google,Travis Marsh,"February 21, 2019",5,would be nice to have a shortcut on the lock screen to swipe to bring up the camera compared to the double tap power button,would be nice to have a shortcut on the lock screen to swipe to bring up the camera compared to the double tap power button.,
626636,Google,Matt Carlson,"February 19, 2019",1,application has been freezing up and shutting down since update,application has been freezing up and shutting down since update,
626641,Google,ROBERT BATES,"February 19, 2019",5,its the best hand free n security protection by farm have to appreciate thanks goole your the best,its the best hands free n security protection by far.must have to appreciate! thanks google  your the best!,
626639,Google,,"February 28, 2019",5,you why i do not to update because you do not know my phone clogedwhen this phone lack of spacey so often wanted to update this goole,you why i do not to update because you do not know my phone clogged.when this phone lack of space.why so often wanted to update. this google,
626644,Google,,"February 25, 2019",1,why is it on my phone i have no update pressed on yet goole still update i allowing into this matter futher,why is it on my phone i have no updates pressed on. yet google still updates i amlooking into this matter futher,
626643,Google,quantum the hedgehog,"February 19, 2019",1,stop with the ad on my phone it is getting on my nerve,stop with the ads on my phone it is getting on my nerves ,
626645,Google,Jessica Stig,"February 25, 2019",2,what the deuce has happened to the image tab the deuce just freeze and then lock up the entire application,"what the deuce has happened to the ""images"" tab?! the deuce just freezes and then locks up the entire application!",
626646,Google,,"February 24, 2019",1,keep crashing after last update unusable on my phone i want to go bac to previous version,"keeps crashing after last update, unuseable on my phone . i want to go bac to previous version .",
626647,Google,suzwlht356,"February 18, 2019",3,too much confusion on where to access just normally to many add,too much confusion on where to access just normal.way to many adds,
626648,Google,,"February 25, 2019",2,i am not happy with your company i do not want to continue changing my password for you every day,"i am not happy with your company, i do not want to continue changing my password for you every day.",
626649,Google,Anuraag Banala,"February 25, 2019",1,image not opening waste application by goole worst change made by goole i stopped using goole i deleted such a waste application it is hard to go and copy the image goole is waste,images not opening waste application by google worst changes made by google i stopped using google i deleted such a waste application it is hard to go and copy the images google is waste,
626651,Google,Renee Smith,"February 23, 2019",3,normally i would give it a but every time i try to use goole it freeze on me and i have to close it out it is been happening for about week now but the application say i am up to date,normally i would give it a  but every time i try to use google it freezes on me and i have to close it out it is been happening for about  weeks now but the application says i am up to date,
626653,Google,Matthew Sullivan,"February 21, 2019",1,star until they fix hiding story in language kiss was working fine until a few update ago now no matter how many time i tell discover to ignore the other language it keep showing it extremely annoying," star until they fix hiding stories in language kiss. was working fine until a few updates ago, now no matter how many times i tell discover to ignore the other language it keeps showing it, extremely annoying.",
626654,Google,Johan Pretorius,"February 22, 2019",1,latest update extremely glitch freeze when viewing image on galaxy s,latest update extremely glitchy. freezes when viewing images on galaxy s,
626657,Google,Алевтина,"February 22, 2019",4,after last update i lost my gogleweather application icon and when try to search in goole and tap on weather goole stop responding,"after last update i lost my googleweather application icon, and when try to search in google and tap on weather, google stop responding",
626659,Google,Vatsal Desai,"February 19, 2019",2,application not optimised for novo tab plus,application not optimised for lenovo tab  plus.,
626658,Google,morgan santerre,"February 21, 2019",2,every time i try to search on image it crash but on goole chrome it doe not please fix this,"every time i try to search on images it crashes, but on google chrome it does not. please fix this",
626660,Google,Libby Clark,"February 18, 2019",1,i like goole search only you have had hack and gather too much info,i like google search only. you have had hacks and gather too much info.,
626661,Google,benjīe solmīa,"February 21, 2019",2,one of worst surfing site ever it hang up regularly that is why i am now using bing bye goole you can not download foot using goole i prefer interest face-on twitter over goole when downloading foot for research purpose,one of worst surfing sites ever! it hangs up regularly. that is why i am now using bing. bye google! you cannot download fotos using google. i prefer pinterest / facebook / twitter over google when downloading fotos for research purpose,
626663,Google,,"February 25, 2019",5,baht aha he goole,bahut acha he google,
626664,Google,Mohit Patiyal,"February 25, 2019",4,feed is not working anymore,feed is not working anymore,
626665,Google,Aashish Chandravanshi,"February 24, 2019",5,hashish ring,aashhish rlrg                       ,
626666,Google,Sherri Lance,"February 27, 2019",4,i have a galaxy s and my android user interface quit when i updated this a vpl day ago this is a real pain in the as please help,i have a galaxy s and my android user interface quit when i updated this a vpl days ago. this is a real pain in the ass. please help,
626667,Google,J A,"February 23, 2019",1,download out permission doe errant thing to piss me off,downloads w\out permission. does errant things to piss me off,
