id,appTitle,userName,date,score,text,original_text,bug_report
286209,Google,,"March 23, 2019",5.0,this application my biggest application,This app my bigest app,
286211,Google,,"March 23, 2019",5.0,i love everything about goole,I love everything about google,
286215,Google,,"March 24, 2019",5.0,best experience for ever,Best Experience for ever...👌👌,
286214,Google,,"March 24, 2019",5.0,sema application thanks sunday pecham sir,semma app thanks SUNDAR PICHAI SIR,
286218,Google,Anoop Singh Bais,"March 24, 2019",5.0,nice top for searching the content,nice aop for searching the content,
286220,Google,,"March 24, 2019",1.0,in order to meet the ever increasing demand in factor and the s shelter tree are being continually cut it is justified to cut tree for such project discus and prepare a brief report,in order to meet the ever increasing demand in factors and the s helter trees are being contimually cut it is justified to cut tree for such projects discuss and prepare a brief report,
286230,Google,Syed Zahirul Islam,"March 24, 2019",5.0,best application in the world,best app in the world,
286219,Google,Mihir Gosai,"March 24, 2019",5.0,it is not like,it's not like,
286224,Google,,"March 24, 2019",5.0,its helpful to u to know everything easy please update me with any of these time are available to you soon love you so very sorry to bother me a copy to the next week to get the best of my life with and i am a very nice of her to be able please find attached my i am a very nice of her own my game i would update my game i would update on this email is not a good day i trust that this was the only one of my life with and i am a very nice of her own my game i would update on this email is not a good day bye,its helpful to us to know everything easy. please update me with any of these times are available to you soon love you so very sorry to bother me a copy to the next week to get the best of my life with and I am a very nice of her to be able please find attached my I am a very nice of her own my game I'd update my game I'd update on this email is not a good day I trust that this was the only one of my life with and I am a very nice of her own my game I'd update on this email is not a good day bye,
286233,Google,,"March 23, 2019",3.0,let is bled modern ofcrmpkmshk,let is Blvd modern ofcrMpkmshk,
286231,Google,Marjorie Brantly,"March 23, 2019",3.0,goole is not help me i told goole that i need to know what time goole was when i wake up and goole did not response and i do not know why goole would not for me marjorie,Google is not help me I told Google that I need to know what time it was when I wake up. And google did not response and i don't know why it wouldn't for me. Marjorie.,
286232,Google,tariq mehmood,"March 23, 2019",5.0,the best ai ever,The Best A.I ever.........,
286235,Google,,"March 23, 2019",4.0,tum sy mil k drama,tum sy mil k darama,
286237,Google,,"March 23, 2019",5.0,the one word to express this this the best,The one word to express this this the best,
286239,Google,,"March 23, 2019",5.0,you are o aha,you're o haha,
286240,Google,,"March 23, 2019",5.0,wow nice application please try nice application,wow nice app plz. try this app.,
286242,Google,,"March 23, 2019",4.0,it is ok and i love but i am really starting to hate the fact that goole think i am a robert,"it's OK and I love it,But I Am really starting to hate the fact that Google thinks I Am a Robort 😠😡",
286252,Google,Sara Ramirez,"March 23, 2019",1.0,there are so many ad they take over my whole phone i am not even on chrome and even on chrome completely stop my activity unbelievably annoying and i am considering deleting the application yes i have opt out however some still get unchecked and even on chrome continues to happen i am done,There are so many Ads! They take over my whole phone! I'm not even on Chrome and it completely stops my activity! unbelievably annoying and I'm considering deleting the App. Yes I have opt out however some still get unchecked and it continues to happen! I'm done!,
286254,Google,kyle lingner,"March 23, 2019",1.0,zero star everything this application claim to be able to do is false no contact ability lost on the road and expected to have already been at a meeting which is going to be missed thanks to the garbage location service and an additional hour drive to my location i have had maybe minute out of hour of the application finding my location this is an outrage you should be forced to disband your company and strip all employee might a well do that anyways with worthless automated support,"ZERO STARS Everything this app claims to be able to do, is false. no contact ability, lost on the roads and expected to have already been at a meeting which is going to be missed thanks to the garbage location services and an additional 2 hour drive to my location. I have had MAYBE 20 minutes out of 48 hours of the app finding my location. This is an outrage. You should be forced to disband your company and strip all employees. might as well do that anyways with worthless automated ""support""",
286257,Google,,"March 23, 2019",5.0,i love what you are doing and i have a huge story about character assassination that our whole family has been trying to get through the deep state since and has victimized many american for decade,I love what you're doing and I have a huge story about Character assassination that our whole family has been trying to get through the deep state since 1966 and has victimized many Americans for decades.,
286261,Google,PATRICIA MAYO,"March 22, 2019",5.0,goole been great but lately will not update,google been great but lately won't update,
286267,Google,Nancy Helget Paruszkiewicz,"March 22, 2019",3.0,never honestly cared for goole,never honestly cared for Google,
286269,Google,,"March 22, 2019",5.0,greatmaking everything a brand new breeze thanks goole,"great,making everything a brand new breeze! thanks google!!",
286274,Google,Chris Bilal,"March 22, 2019",5.0,this application is very useful to use this is very safe also,this app is very useful to use this is very safe also,
286279,Google,,"March 22, 2019",5.0,good application for to clarify any doubt,good app for to clarify any doubts,
286280,Google,,"March 22, 2019",3.0,i am not getting a lot of question and goole irritating me,i am not getting a lots of question and google irritating me,
286281,Google,,"March 22, 2019",5.0,very good work done,very good work done,
286290,Google,Manish Kumar singh Singh,"March 22, 2019",5.0,very useful for many purpose,very useful for many purposes,
286285,Google,Arifuzzaman Arif,"March 22, 2019",5.0,it is an unique aplicationthats i have got and it is store house of info but there are a lot of update recommendation otherwise it is outstanding,"It's an unique app,thats i have got. And it is store house of info,, but there are a lot of update recomendation otherwise it's outstanding.....",
286287,Google,,"March 22, 2019",5.0,very nice but when we speak its can not give me the result which i want,very nice but when we speak its cant give me the results which I want,
286292,Google,,"March 22, 2019",5.0,what up with you,what up with you,
286294,Google,,"March 22, 2019",5.0,not so bad not so good,Not so bad Not so Good,
286300,Google,,"March 22, 2019",5.0,thanks goole for good service,thanks google for good savices,
286303,Google,,"March 22, 2019",4.0,i will roy please let me know you received this message from you in a great mood for ok to talk to you about this matter to me if you want to talk about this matter to me what we need to do this for you to be able to make that work with your company for all your hard work and support with you thanks for the update i will be in touch with you about the job opening for me to get the kid together for you to have a good time with you in a few minute and i will be there at that time i will be the,I will ryoo please let me know you received this message from you in a great mood for ok to talk to you about this matter to me if you want to talk about this matter to me what we need to do this for you to be able to make that work with your company for all your hard work and support with you. thanks for the update I will be in touch with you about the job opening for me to get the kids together for you to have a good time with you in a few minutes and I will be there at that time I will be the,
286304,Google,Satish Raut,"March 22, 2019",5.0,very good but do not add any product advtaisment,very good but don't add any products advtaisment,
286312,Google,Mehra Ahmed,"March 23, 2019",5.0,your application are very smart,your app are very smart,
286321,Google,,"March 23, 2019",5.0,it is a nice to search,it is a nice to search,
286322,Google,,"March 23, 2019",4.0,goole help me so much,google helps me so much,
286323,Google,suresha sk,"March 23, 2019",5.0,surest is right aps,suresh is right apps,
286324,Google,,"March 23, 2019",5.0,great but instal goole assistant,great but uninstall Google Assistant,
286328,Google,,"March 23, 2019",5.0,goole assistant is great,Google assistant is grear,
286329,Google,Eshwar Vemali,"March 23, 2019",5.0,super but loading is late,super but loading is late 😊,
286334,Google,,"March 22, 2019",5.0,alto data internet parapet used,allyos data internet parfacet uecsd,
286335,Google,Stephanie iburg,"March 22, 2019",2.0,this thing constantly tell me i am off line when in fact i am not i using other online aps and it just refuse to work properly,"this thing constantly tells me i am off line, when in fact, i am not. I using other online apps. and it just refuses to work properly.",
286337,Google,Yaser gamer,"March 22, 2019",5.0,best application and company in the world company beautiful application company has everything single thing in all around the world,best app and company in the world its beautiful app it has everything single thing in all around the world,
286340,Google,Jef Mitrik,"March 22, 2019",1.0,why do you keep trying to fix what is not broken the new update suck,why do you keep trying to fix what isn't broken? the new update sucks.,
286341,Google,Manish Tiwari,"March 22, 2019",5.0,it is very useful for u,It is very useful for us,
286343,Google,,"March 22, 2019",5.0,bast application of world tank goole tim,Bast😎 app 😚of😍 world💥 tanku google tim,
286350,Google,,"March 22, 2019",5.0,very good application also,verry good app allso,
286353,Google,,"March 22, 2019",5.0,i are pop,. I r pop,
286354,Google,ANTHONY PROUT,"March 22, 2019",5.0,must be the best search engine you can get,must be the best search engine You can get,
286357,Google,,"March 22, 2019",5.0,only for boyfriend kiss,only for bf xxx,
286361,Google,,"March 22, 2019",2.0,throw ruby th week h,Throws Ruby 6th week h,
286362,Google,,"March 22, 2019",5.0,i like this application,i like this app,
286363,Google,Nazia Was,"March 22, 2019",5.0,the seepage is not coming in this goole so what should i do,The webpage is not coming in this Google so what should I do????,
286364,Google,,"March 22, 2019",5.0,wait is amazing,Wow.....it's amazing....,
286365,Google,,"March 22, 2019",5.0,this application is very good,this app is very good,
286375,Google,,"March 22, 2019",5.0,mast and good application,mast and good app,
286376,Google,martin siabonga,"March 22, 2019",5.0,very nice and beautiful,very nice and beautiful,
286380,Google,,"March 21, 2019",5.0,wow i am impressed fantastic,wow I'm impressed fantastic,
286384,Google,,"March 21, 2019",5.0,awesome i use it everyday,awsome i use it everyday,
286386,Google,,"March 21, 2019",4.0,uh blue cute beautiful hero blue cute beautiful hero xhnifvatuser,"uZhभले ही तू #Blue_eyes की तरह #Cute दिखती हो, पर तू #Beautiful तब तक नहीं जब तक तेरे #HERO हम नहीं..!!भले ही तू #Blue_eyes की तरह #Cute दिखती हो, पर तू #Beautiful तब तक नहीं जब तक तेरे #HERO हम नहीं..!!8xhNifv@zzz",
286389,Google,Mike Poole,"March 21, 2019",1.0,discover stopped working completely has been my goto news feed for over a year now it say no card to display,"Discover stopped working completely. Has been my go-to news feed for over a year now it says ""no cards to display"".",
286390,Google,,"March 21, 2019",5.0,very good and easy too use,very good and easy too use.,
286392,Google,Debendra Tv,"March 21, 2019",5.0,nice application super mind blowing,nice app super mind blowing,
286396,Google,,"March 21, 2019",4.0,great info thanks,Great info thanks..,
286406,Google,,"March 24, 2019",5.0,it is so nice faster down load,It's so nice.. Faster down load.,
286409,Google,Ogunyemi Ilesanmi Yinka,"March 24, 2019",5.0,very efficient and effective,Very efficient and effective.,
286490,Google,,"March 21, 2019",5.0,whats up with the double beep when you say ok goole,whats up with the double beep when you say ok google?,
286491,Google,,"March 16, 2019",3.0,this application is very useful to me he give me useful information at any time i would not know what to do if i did not have it,this app is very useful to me he gives me useful information at any time I wouldn't know what to do if I didn't have it,
286492,Google,Francis Desmond,"March 10, 2019",5.0,everything i need to know and did not know i needed to know,Everything I need to know and didn't know I needed to know,
286493,Google,,"March 13, 2019",1.0,why when i search for thing doe it insist on opening application in my phone when i specifically want the web page give me the damn option,Why when I search for things does it insist on opening applications in my phone when i specifically want the web page. Give me the damn option.,
286494,Google,Vhugala Mutshembele,"March 13, 2019",1.0,i give goole star goole annoying by all this ad i blocked goole goole still keep on coming in over and over again,i give Google 0 stars its annoying by all this ads i blocked them... they still keep on coming in over and over again,
286495,Google,Miz Vamp,"March 11, 2019",1.0,recently i am unable to view my activity not all listed a previously,Recently i'm unable to view my activities. not all listed as previously,
286496,Google,,"March 7, 2019",1.0,goole can you restore my account i put the wrong date of my birth,google can you restore my account? i put the wrong date of my birth.,
286497,Google,Elizabeth DeRosier,"March 21, 2019",3.0,some i have a little problem when i am trying to talk handsome a little problem doe not seem to pick up a ride away or a little problem is just get lost in towel me a little problem can not do a little problem,some I have a little problem when I'm trying to talk hands-free it doesn't seem to pick up a ride away or it's just gets lost in towels me it can't do it......,
286498,Google,,"March 5, 2019",5.0,i love it full of lot of useful subject and much much more a must have for all to explore,i love it full of lots of useful subjects and much much more a must have for all to explore,
286499,Google,,"March 7, 2019",5.0,nice application for search any information i avery happy to use this goole application,nice app for search any information. .im very happy to use this google app.,
286500,Google,Darshit Jani,"March 6, 2019",5.0,good experience with just we can search a single tap good experience amazing,good experience with just we can search a single tap... its amazing,
286501,Google,,"March 7, 2019",5.0,it is a very good application the goole have all the answer for any question,It is a very good app. The Google have all the answers for any question.,
286502,Google,Harold Devers,"March 4, 2019",3.0,it will not respond to my voice anymore so i tried disabling it then redoing it still no luck tried other voice but still not working,it will not respond to my voice anymore so I tried disableing it then redoing it still no luck tried other voices but still not working.,
286503,Google,,"March 20, 2019",1.0,you guy need to make that goole sign smaller because that goole sign is pissing me off,' you guys need to make that Google sign smaller because it's pissing me off,
286504,Google,Harry Sarfo Dikoh,"March 20, 2019",3.0,the voice match i was really looking forward is not working please fix a soon a possible the voice match i was really looking forward fine aside that,the voice match i was really looking forward is not working. please fix asap. its fine aside that.,
286505,Google,,"March 14, 2019",5.0,i want the next update to have a ai girl in my phone talking to me,I want the next update to have a AI girl in my phone talking to me,
286506,Google,,"March 12, 2019",5.0,help me more to find every thing and i no no help me any time any were,help me more to find every thing . and i no its help me any time any were,
286507,Google,Liz Smith,"March 11, 2019",3.0,i can never find what i am looking for usually end up tearing out my hair and say to heck with it,".I can never find what I am looking for -usually end up tearing out my hair and say "" to heck"" with it.",
286508,Google,Jan Paul Bresenio,"March 13, 2019",4.0,great application but much better in dark mode please add that feature thanks,Great app but much better in Dark Mode please add that feature thanks😁,
