id,appTitle,userName,date,score,text,original_text,bug_report
549927,Google,Annpurna Jaiswal,"May 30, 2019",5,it is very nice,It's very nice,
549931,Google,nilu rajput,"May 30, 2019",4,application was good no excuse but you get more good,app was good no excuse but you get more good,
549936,Google,Wahyu Wazza,"May 30, 2019",5,aplikasinya mental kenya serial dinka sell mental term,Aplikasinya mental Kenapa setiap dibuka selalu mental terus?,
549937,Google,juwel miah,"May 30, 2019",2,box,া :((:((ঞ !B-):-/:-/T^TX(:((,
549943,Google,Aditi Chourasia,"May 30, 2019",5,good for fast search,good for fast search,
549944,Google,Lenmor Mals,"May 30, 2019",5,can give me the meaning of everything,can give me the meaning of everything,
549946,Google,Mike Robinson,"May 30, 2019",5,i find its seems easier to use than crome and just love the goole assistant crome kept me from feeling alone during the tulsa ola flood big thanks to goole mdr,"i find its seems easier to use than crome and just love the Google assistant she kept me from feeling alone during the tulsa, Okla floods! Big Thanks to Google!!! MDR...",
549949,Google,Tirgar Shailesh,"May 30, 2019",5,nice application and post to,nice app and post to,
549952,Google,Rayyan Taup,"May 30, 2019",5,i want to watch nba score live thanks,I want to watch NBA scores live thx,
549955,Google,Mallareddy Mallareddy,"May 30, 2019",5,it is a good application at the same time very useful can learn anything from this application,It's a good app at the same time very useful.We can learn anything from this app.,
549957,Google,Jim Etter,"May 30, 2019",1,crazy stuff all and i mean all these aps associated with a goole post say the same thing zero nothing natta l hope they clean this stuff up soon,"crazy stuff, all and I mean ALL these apps associated with a Google post say the same thing, zero, nothing, nat,notta. l hope they clean this stuff up sooooon.",
549958,Google,rizky riyadi,"May 30, 2019",1,hmip mau bupa goole go bias mulujadi keel deh,"hmm..tiap mau buka google gk bisa mulu,jadi kesel deh",
549960,Google,Lydia Maria Fanfan,"May 30, 2019",1,i am fed up with the constant invasion of privacy,I am fed-up with the constant invasion of privacy!,
549963,Google,Tejkaran Hinglaj,"May 30, 2019",5,nice answer average vgoeyt,nice answer average Vgooeyt,
549964,Google,Raj Chauhan,"May 30, 2019",5,good long in very most import application help in all world good in a team good in a very very thanks,good long in very most impotn app help in all world good in a team good .in a very vrey thanks,
549965,Google,Amrita Shaw,"May 30, 2019",5,this is very nice i use goole opinion reward also but i am not getting survey for a long time thank you,this is very nice i use google opinion reward also but i am not geting servey for a long time thank you,
549968,Google,Sakir Ali,"May 30, 2019",5,good application and so lovely kidding application love you goole,good app and so lovely kidding app luv u google,
549969,Google,only way to the only heaven .Jh.ch3v16&John.ch14v6!,"May 30, 2019",1,slice will not look up goole only reviewsfive time larger than original big big memory hog goole aps big memory theft do not update or install big memory theft if this application feature in vr you have update fix did for me smarter than sir beware with speck riot virtual assistant or sherpa virtual assistant or genie this application memory hog,glicis won't look up Google only reviews)Five times larger than original big big memory hog Google apps big memory thefts 🐷🐷🐷🐷🐷🐷🐷🐷🐷🐷don't update or install them if this app features in vr you have update fix did for me smarter than siri beware???????go with speck tiot Virtual Assistant or sherapa Virtual Assistant or gennie this app memory hog 🐷🐷🐷🐷🐷🐷,
549970,Google,SRR Sekhar,"May 30, 2019",5,very good application in the past,very good app in the past,
549972,Google,Pradeep RAO,"May 30, 2019",5,ski i kiss n n m by sleeping z kiss kiss no,"jki i. x,, n n m byb ,,,s,,zzz,,,,,.. ,z. x ,,x no",
549986,Google,Ankit Kumar,"May 30, 2019",2,axa tha per ab nazi,axxa tha per ab nahi,
549988,Google,Eddy Joel Guzmeli Polanco,"May 30, 2019",1,with the last update i can not use the goole assistant handsome,whith the last update I can't use the google assistant handsfree...,
549989,Google,tom irwin,"May 30, 2019",1,now the ninth time the same update has come thru sony opera xz premium please stop,Now the NINTH time the same update has come thru ! sony xperia xz premium PLEASE STOP,
549993,Google,Pravin Indurkar,"May 30, 2019",1,the application is getting crashed down repeatedly goole developer please look into the matter and take corrective action accordingly,The app is getting crashed down repeatedly.. Google developers please look into the matter and take corrective actions accordingly...,
549996,Google,Nobiakhan Khan,"May 30, 2019",4,l have nothing to say thanks,"l have nothing to say. thanks. ,",
550000,Google,Radheyshyam Ambedkar,"May 30, 2019",5,best browser for reader,brst browser for readers,
550006,Google,Ashima Tomar,"May 30, 2019",1,since last few week m unable to update the aps the aps not working,since last few weeks m unable to update the apps. its not working.,
550010,Google,lexie -marie-,"May 30, 2019",5,it is the best,it's the best,
550013,Google,Oliver Ogden,"May 30, 2019",1,whenever i try to use routine to go to work or home goole will follow the instruction half the time the other half goole will wish me safe travel which then interrupt the loading of navigation so goole doe open map please fix this i really like the routine function but goole a pain when goole only work half the time,"whenever i try to use routines to go to work or home, google will follow the instructions half the time, the other half, it will wish me safe travels which then interupts the loading of navigation, so it doesnt open maps please fix this, i really like the routines function, but its a pain when it only works half the time",
550018,Google,I medal gypsy,"May 30, 2019",5,you rock mostly,u rock mostlyy!,
550022,Google,Gary Lynn,"May 30, 2019",5,the only way to reach the only way to go,The only way to reach the only way to go !,
