id,appTitle,userName,date,score,text,original_text,bug_report
582200,Google Play Music,Phiwinhlanhla Gumede,"April 30, 2019",5.0,great application try great application,great app try it 🎵,
582202,Google Play Music,A Google User,"April 30, 2019",1.0,application crash every song when the screen is off on the lg grin the screen is ridiculous for an application update that made it to production to not have been tested on a flagship or an emulator i have to say not only has goole is development team started slacking but goole seems development team is following suit lately i am highly suspect that there is any kind of qa process that is not laughable it is a shame that goole can not hire and retain any kind of sustainable viable talent these day,"application crashes every song when the screen is off on the LG G8. It's ridiculous for an application update that made it to production to not have been tested on a flagship or an emulator. I have to say not only has Google's development team started slacking but it seems the management team is following suit lately. I am highly suspect that there's any kind of QA process that isn't laughable. it's a shame that Google can't hire and retain any kind of sustainable, viable Talent these days.",
582205,Google Play Music,Timothy Terrell,"April 30, 2019",1.0,i do not want it,I don't want it.,
582206,Google Play Music,Skyler Randolph,"April 30, 2019",5.0,i love this application this application so easy to use,i love this app its so easy to use,
582209,Google Play Music,kaycee moses,"April 30, 2019",3.0,it is a great music application but it should have an equalizer some of u would like to adjust the way u want to listen to some music,It's a great music app but it should have an equalizer. Some of us would like to adjust the way we want to listen to some music.,
582210,Google Play Music,CHIRAYU Trivedi,"April 30, 2019",2.0,new updated version has lot of ad and playlist stop after every song and doe not play continuously,new updated version has lot of ads and playlist stops after every song and doesn't play continuously :(,
582211,Google Play Music,PWPhoto,"April 30, 2019",1.0,it has been good up until today all of a sudden the application will not play music even stuff that is downloaded for more than second then the application shuts down i have done everything from restarting the application to shutting phone down and restarting it all to no avail i ha e not uninstaled then installed it because it take so long to download my music i am taking to day i am not doing that again anytime soon,"it has been good up until today. all of a sudden, the app will not play music, even stuff that is downloaded, for more than 10 seconds. then the app shuts down. I have done everything from restarting the app to shutting phone down and restarting it, all to no avail. I ha e not uninstalled then reinstalled it because it takes so long to redownload my music. I'm taking 4 to 5 days. I'm not doing that again anytime soon.",
582213,Google Play Music,Ambrose James,"April 30, 2019",5.0,awesome music to listen and totally awesome rock easy soft music rap rock star hip-hop rastafarian god for the soul and make me relax and put me to sleep once in awhile okay,"awesome music to listen, and totally awesome rock, easy soft music, rap, rock stars, hip-hop, rastafari, God for the soul and makes me relax and puts me to sleep once in awhile okay",
582215,Google Play Music,Brian Ray,"April 30, 2019",1.0,do not buy music on this application especially if you intend to use song or tune a a kington unless you would like to be pissed off then go ahead and do it you have been warned,don't buy music on this app. especially if you intend to use song or tune as a ringtone. unless you would like to be pissed off. then go ahead and do it. you've been warned.,
582217,Google Play Music,Kristopher Moreau,"April 30, 2019",3.0,the search function is terrible i wish the search function would prioritize song in my library instead of radio station also i would like to make a playlist of more than song on the other hand it is definitely the most stable of the music streaming aps on android that i have tried,The search function is terrible. I wish it would prioritize songs in my library instead of radio stations. Also I would like to make a playlist of more than 1000 songs. On the other hand it's definitely the most stable of the Music streaming apps on Android that I've tried.,
