id,appTitle,userName,date,score,text,original_text,bug_report
267128,Google Play Music,Richard Simmons,"March 17, 2019",1.0,it is the application sleep feature causing the application to close after second remove the application from the sleep list and the application work fine again since upgrading to samsung one the application crash after second of playing music rendering my music subscription useless,"It's the App Sleep feature causing the app to close after 10 seconds, remove it from the sleep list and it works fine again! Since upgrading to Samsung OneUI the app crashes after 10 seconds of playing music rendering my music subscription useless.",
267131,Google Play Music,Trey Williams,"March 17, 2019",1.0,if i could rate a zero i would unless they want to fix the issue goole music is useless and outdated you can not even use music you bought externally from the application i have video i want to edit music to but i have tried and goggled everything to get goole music for my used stupid application and waste of money to buy music,If I could rate a zero I would unless they want to fix the issue. Google music is useless and outdated. you can't even use music you bought externally from the app! I have videos I want to edit music to but I have tried and googled everything to get MY music for my used stupid app and waste of money to buy music!!,
267129,Google Play Music,A Google User,"March 8, 2019",2.0,i used to be happy with this application but i unloaded my music from my library ripped from cd and now i have to rebuild my playlist because he song are no longer on my phone this lead me to the biggest sin with this application you can no longer hold to select song and the more dot are so close to the edge that most of the time you accidentally scroll what a useless interface goole should reassign the person who approved this application to something with le responsibility,"I used to be happy with this app. but I uploaded my music from my library (ripped from CDs) and now I have to rebuild my playlists because he songs are no longer on my phone. This leads me to the biggest sin with this app- you can no longer hold to select songs, and the ""more"" dots are so close to the edge that most of the time you accidentally scroll. What a useless interface. Google should reassign the person who approved this app to something with less responsibility.",
267132,Google Play Music,Kathie Tuhkanen,"March 7, 2019",1.0,suck since update i used to listen to all my music with this application it did an update and now it only play song then stop i have to restart this application listen to an ad and then i get song again i used to listen to this application for hour on end i did not mind the ad once in a while now the ad will not play a second ad the ad freeze up,"sucks since update. I used to listen to all my music with this app. it did an update and now it only plays 1 song then stops. I have to restart the app listen to an ad and then I get 1 song again. I used to listen to it for hours on end. I didn't mind the ads once in a while now it won't play a second ad, it freezes up.",
267133,Google Play Music,Mēya Morales,"March 11, 2019",1.0,i have been using goole play for year and was able to listen to any song i like without paying for money since the application updated i now have to pay to listen to all the song i added to each of my playlist i am very disappointed in you guy right now now i will have to use a different application to listen to music i am so mad,"I have been using Google Play for years and was able to listen to any song I like without paying for money. Since the app updated, I now have to pay to listen to all the songs I added to each of my playlists. I am very disappointed in you guys right now. Now, I will have to use a different app to listen to music. I am so mad.",
267134,Google Play Music,Randy Lauzon,"March 5, 2019",4.0,it is great but one complaint you go into any kind of playlist and try to scroll quickly and you end up removing one of the song from the list and if you do not get to the undo button quick enough you have to go back and find the song you to read it drive me nut,"It's great, but one complaint. You go into any kind of Playlist and try to scroll quickly and you end up removing one of the songs from the list. And if you don't get to the 'undo' button quick enough you have to go back and find the song you to readd it. Drives me nuts!",
267135,Google Play Music,Heros Heller,"March 15, 2019",4.0,i use it mostly for podcasts if i am using bluetooth barbuda and disconnect it the precast go back to the start the precast is annoying because i have to find where i was in the episode i like the application just wanted to leave this info here to be possibly fixed in the future,"I use it mostly for podcasts. If I'm using bluetooth earbuds and disconect it, the podcast goes back to the start. It is annoying because I have to find where I was in the episode. I like the app, just wanted to leave this info here to be possibly fixed in the future.",
267136,Google Play Music,Katrina Mitchell,"March 2, 2019",5.0,long time subscriber and love the application selection is huge thing just work minor criticism include the inability to use mobile a a remote control a specify allows the lower subscription value from couture red not working in many country and the fact that once i start playing a playlist i can not shuffle can only do that before you start playing it also super easy to accidentally remove item from playlist there is undo but easy to miss it or remove multiple thing by accident,"Long time subscriber and love the app. Selection is huge. Things just work. Minor criticisms include the inability to use mobile as a remote control (as Spotify allows), the lower subscription value from YouTube Red not working in many countries, and the fact that once I start playing a Playlist, I cannot shuffle (can only do that before you start playing it!). Also super easy to accidentally remove items from Playlists (there's undo, but easy to miss it or remove multiple things by accident).",
267137,Google Play Music,Slycer Satan,"March 7, 2019",5.0,obviously a useful application for any android user android for the win emirate i do however think that expanding music file type format playback support would be a great idea i hate using other application for music i already have downloaded,"Obviously a useful app for any Android user, android FTW amirite? I do, however, think that expanding music file type / format playback support would be a great idea. I hate using other applications for music I already have downloaded.",
267138,Google Play Music,Ramadan Sali,"March 7, 2019",1.0,let me fast forward or rewind in android auto this is a joke regularly redownloads song i have listened to song corrupt and refuse to play you can not undo thumbing down by accident your ui is difficult to use why can not you put couture music into this application instead of making another,let me fast forward or rewind in android auto. this is a joke. regularly redownloads songs ive listened to. songs corrupt and refuse to play. you cant undo thumbing down by accident. your ui is difficult to use. why cant you put youtube music into this app instead of making another.,
267139,Google Play Music,Shannon Dehlin,"March 4, 2019",1.0,please remove the auto skip feature that happens when song are disliked and add a feature to manage song rating instead of just resetting song i have disliked too many song i like by accident and have no easy way of fixing accident i will raise this to five star when that is fixed,"Please remove the auto skip feature that happens when songs are disliked, and add a feature to manage song ratings instead of just resetting them. I have disliked too many songs I like by accident and have no easy way of fixing it. I'll raise this to five stars when that's fixed.",
267140,Google Play Music,Tom K,"March 3, 2019",2.0,only realised after buying a couple song of goole that i need to use a couple music application to listen to the song a a couple do not let my preferred music application to see the download sticking with buying song from amazon a my music application can see the song i download from there,Only realised after buying a couple songs of Google that I need to use their music app to listen to the songs as they don't let my preferred music app to see the downloads. Sticking with buying songs from Amazon as my music app can see the songs I download from there!,
267141,Google Play Music,Trust David,"March 20, 2019",5.0,dear goole play music team thank you all for providing u with update it would not have been the same without your passion and dedication this recent update is excellent but the problem u are facing in nigeria is that what u see in advert is very differ from u goole play music application when in online and online,"Dear Google Play Music Team, thank you all for providing us with update. It would not have been the same without your passion and dedication. This recent update is excellent. But the problem we are facing in Nigeria is that what we see in advert is very differ from our Google play music app when in online and offline.",
267142,Google Play Music,Sarah English,"March 14, 2019",5.0,okay you guy i love having goole play unlimited songstationspodcasts this application is fantastic now i am so so glad this application has improved since review every time i lock my phone or this application automatically lock the music stop and i get an error message absolutely horrible going back to pandora i expected better goole this just leaf me angry and frustrated,Okay you guys! I LOVE having google play. Unlimited songs/stations/podcasts?! This app is fantastic now. I am so so glad it has improved since 2016 2016 REVIEW - Every time I lock my phone or it automatically locks the music stops and I get an error message. Absolutely horrible. Going back to Pandora. I expected better Google. This just leaves me angry and frustrated,
267143,Google Play Music,McKinley W.,"March 9, 2019",1.0,is there a way to find the total time to play all of the music in a playlist i can see the song in a playlist and the length in minuteseconds of each song but i can not find a total time other than that its great that is my largest pet eve,"Is there a way to find the total time to play all of the music in a playlist? I can see the songs in a playlist, and the length (in minutes:seconds) of each song, but I can't find a ""total time"". other than that its great. that is my largest pet peve.",
267144,Google Play Music,Santi Lawson,"March 5, 2019",1.0,that is it i will not buy any song from here anymore today i learned subscription are changed to the way it was work on pc and samsung tab professional why only work on these device and not my samsung galaxy note you going to loose customer if you keep adding to these aps ridiculously to preview a song with a subscription i have downloaded and bought all the music and needing to download all the music again stupid,"That's it I won't buy any songs from here anymore til Subcription are changed to the way it was. Works on PC and Samsung Tab Pro WHY only works on these devices, and Not my Samsung Galaxy Note 5?? You going to loose customers if you keep adding $$$ to these Apps. Redicolously to preview a song with a Subscription??!! I've downloaded and bought all the music and needing to download them again - stupid!!",
267145,Google Play Music,Raj Patnaik,"March 10, 2019",1.0,worst application a a music player equalizer is removed audio quality is awful and audio quality the fault of this application coz i have tried on other aps music sound good there is this disturbance like an unturned radio please fix this issue a soon a possible device is asks zenfone max professional m gb can not click on dot of a song,Worst app as a music player. Equilizer is removed. Audio quality is awful and its the fault of this app coz i have tried on other apps music sounds good. There is this disturbance like an untuned radio. Pls fix this issue ASAP. Device is Asus Zenfone Max Pro M2 6GB. Can't click on 3 dots of a song.,
267147,Google Play Music,A Google User,"March 20, 2019",1.0,at first i used to be able to listen and look up music but then when it updated i could not do any of that without buying something i think that is crazy because it is a application that was downloaded with my phone and now it can not be fully utilized,at first I used to be able to listen and look up music but then when it updated I couldn't do any of that without buying something. I think that's crazy because it's a app that was downloaded with my phone and now it can't be fully utilized.,
267146,Google Play Music,Prashant Kumar,"March 19, 2019",3.0,upped my rating after they improved organisation of playlist they need to include more song in the available range my older comment most disorganized and imprecise player absolutely useless,Upped my rating after they improved organisation of playlists. They need to include more songs in the available range. My older comment: Most disorganized and imprecise player. Absolutely useless.,
267148,Google Play Music,"Eric Lemaire, Jr.","March 2, 2019",1.0,the application is going away and thats the worst move goole has made regarding a default application of theirs fix the ui integrate better with couture if thats what you want and brand the name but do not get rid of the application i need to be able to unload my music to the cloud and edit track info couture music doe look like it will do that,"The app is going away and thats the worst move Google has made regarding a default app of theirs. Fix the UI, integrate better with YouTube if thats what you want and rebrand the name but don't get rid of the app. I need to be able to upload my music to the cloud and edit track info. YouTube Music doesnt look like it will do that.",
267149,Google Play Music,Sir Loin13,"March 10, 2019",5.0,revised uninstaled and installed work perfectly fine and all my music is back sigh of relief this beat everything and all aps i do not know what is going on now with this but can not listen to a song longer than second and then the application close and pause or skip and shutter so damn sad please fix this,Revised: Uninstalled and reinstalled. Works perfectly fine and all my music is back! *sigh of relief* This beat everything and all apps! idk what's going on now with it but cant listen to a song longer than 5 seconds and then the app closes and pauses or skips and shutters! So damn sad! please fix this!!!!!,
267150,Google Play Music,Produced By Ethan,"March 22, 2019",3.0,it is good but the shuffle function doe not really shuffle the shuffle function just play the same song over and over,"It's good but the shuffle function doesn't really shuffle, it just plays the same songs over and over.",
267152,Google Play Music,richard clark,"March 23, 2019",1.0,really enjoy the service download any and all the music no led zeppelin but that is update now it shuts down sec into every song tried restarting phone no luck,Really enjoy the service download any and all the music. No led zeppelin but that's ok.update now it shuts down 10 secs into every song. tried restarting phone no luck,
267153,Google Play Music,Rodwin Goldstone,"March 14, 2019",1.0,you have lost a customer today due to the application crashing on newly updated android pie samsung galaxy s i hate you so sad that this has to happen,you have lost a customer today due to the app crashing on newly updated android Pie Samsung galaxy s8. I hate you. so sad that this has to happen.,
267154,Google Play Music,Christian Burk,"March 10, 2019",2.0,i had to move away from this application no ma or wav support regular reminder to subscribe my own music is downloaded to a folder that i do not have permission to reach and a lack of feature that i prefer third party has all that i need and all i did not know i would want,"I had to move away from this app. No WMA or WAV support, regular reminders to subscribe, my own music is downloaded to a folder that I don't have permission to reach, and a lack of features that i prefer. Third party has all that I need and all I didn't know I'd want.",
267155,Google Play Music,Suzana St.,"March 14, 2019",3.0,cooler color would be stupid at least within the application if we could choose an another color under the setting orange is for me a logo orange is simply ugly but what bother me the most that i can not unload music from my device directly to goole play music and save my device there it is only possible via desktop and computer it is almost a if it would not be possible so old fashioned for a company that claim to be so hip and up to date well,Cooler colors would be dope at least within the app if we could choose an another color under the Settings. Orange is for me a NoGo it's simply ugly. But what bothers me the most that I  cannot upload music from my device directly to Google Play Music and save it there. It's only possible via Desktop and Computer. It's almost 2020 as if it wouldn't be possible so old fashioned for a company that claims to be so hip and up to date. Welp,
267156,Google Play Music,A Google User,"March 13, 2019",1.0,not all my downloaded song are listed so i have to search all my downloaded song some are randomly deleted also now all my downloaded song are being cut off well before all my downloaded song finish and i have no way of fixing that getting another music player would be nice if you read your review and cared,"Not all my downloaded songs are listed so I have to search them, some are randomly deleted. Also now my songs are being cut off well before they finish and I have no way of fixing that. Getting another music player. Would be nice if you read your reviews and cared.",
267157,Google Play Music,Kayla McCaffrey,"March 18, 2019",2.0,song that i had since on my phone for earshot downloaded from goole play were on a very important playlist got a new phone and suddenly song that i had since on my phone for earshot downloaded from goole play are gone from a very important playlist song that i had since on my phone for earshot downloaded from goole play are still on a new phone and were on a very important playlist at first but now song that i had since on my phone for earshot downloaded from goole play are gone so thank you very much for that,"Songs that I had synced on my phone for years(not downloaded from Google play) were on a very important playlist. Got a new phone and suddenly those songs are gone from that playlist. They're still on the phone, and were on the playlist at first, but now they're gone. So thank you very much for that.",
267158,Google Play Music,Ryan Clark,"March 15, 2019",4.0,normally i would give you star but the most recent update has broken your concert near you feature the most recent update doe not show concert near me but in other area that make me excited until i see the location please fix this and i will rate back to star,normally I'd give you 5 stars but the most recent update has broken your concerts near you feature. it doesn't show concerts near me but in other areas that make me excited until I see the location. please fix this and I'll rate back to 5 stars.,
267159,Google Play Music,John Foe,"March 7, 2019",1.0,star normally and was my favorite music application since the update today it will not play past second what is really going on disappointed,5 star normally and was my fav music app. since the update today it wont play past 10 seconds! what is really going on? disappointed,
267160,Google Play Music,A Google User,"March 3, 2019",1.0,i can not download music because it say it is not available in my country but i need to know when is it going to be able useless,I can't download music because It says it's not avaible in my country. But I need to know when is it going to be able? Useless,
267161,Google Play Music,A Google User,"March 18, 2019",4.0,the go to artist option is missing from the menu on each album why you would remove that is ridiculous now i have to do a search on an artist every time i want to look at a different album that was a simple option that made the application great,"The ""go to artist"" option is missing from the menu on each album.  Why you would remove that is ridiculous. Now I have to do a search on an artist every time I want to look at a different album. That was a simple option that made the app great.",
267162,Google Play Music,Eduardo Jodi Kuninari,"March 8, 2019",4.0,the new update improved the experience significantly but there are some aspect in which play music is still far behind the competition there is no dark mode available the playlist are still few and le diversified when compared to the competition the new main page has too few recommendation the new main page is difficult to discover new station,"The new update improved the experience significantly! But there are some aspects in which play music is still far behind the competition: there's no dark mode available, the playlists are still few and less diversified when compared to the competition, the new main page has too few recommendations, it's difficult to discover new stations.",
