id,appTitle,userName,date,score,text,original_text,bug_report
452286,Google Play Music,Albert Visser,"May 31, 2019",1.0,can not get it to play my music,cant get it to play my music,
452284,Google Play Music,Tyson Goodson,"May 31, 2019",5.0,doe pull up goole cast device on s,doesnt pull up google cast devices on s10,
452290,Google Play Music,Saptarshi Ghosh,"May 31, 2019",1.0,replace this application with yt music,Replace this app with YT music.,
452292,Google Play Music,Abdul Jalil,"May 31, 2019",5.0,goole play music is best music player application,google play music is best music player app.,
452295,Google Play Music,Claudio Santana,"May 31, 2019",1.0,lousy too complicated,lousy. too complicated.,
452297,Google Play Music,edna ward,"May 31, 2019",5.0,injoybal i like this,injoybal i like this,
452298,Google Play Music,Gariagan kelvin,"May 31, 2019",2.0,why would a music application lacking equalizer why would a music application lacking equalizer really annoying playing music with no much sound,why would a music app lacking equalizer. its really annoying playing music with no much sound,
452300,Google Play Music,sonia 2002,"May 31, 2019",4.0,its nice but sometimes download of song is not possible,its nice but sometimes download of song is not possible,
452301,Google Play Music,Анатолий Гайворонский,"May 31, 2019",3.0,it is and this application have design goole maybe rework,"It's 2019, and this app have 2013 design. Google? Maybe rework?",
452303,Google Play Music,nitu boro,"May 31, 2019",5.0,new versiongogle music,new version....google music ..👍👍👍👍,
452304,Google Play Music,Ratan oraon,"May 31, 2019",3.0,please add a feature in this application ie create a playlist,plz add a feature in this app i.e create a playlist.,
452312,Google Play Music,Ryan Mahan,"May 31, 2019",1.0,all of a sudden all of a sudden is crashing after opening the application this has never happened,all of a sudden it is crashing after opening the app. this has never happened.,
452313,Google Play Music,urooj naz,"May 31, 2019",1.0,why is it stopping it play the song for few second and the application close,why is it stopping? it plays the song for few seconds and the app closes ...,
452314,Google Play Music,A Google User,"May 31, 2019",5.0,it is a good music player i just love it,it's a good music player i just luv it,
452317,Google Play Music,satish u,"May 31, 2019",1.0,among all music aps this is waste and worst application always ad anybody want listen a peaceful music do not waste your time,among all music apps this is waste and worst app always ads anybody want listen a peaceful music don't waste your time,
452318,Google Play Music,Prabesh bhattarai,"May 31, 2019",1.0,lack of dark theme lack of advance control like power-up provide,lack of dark theme. Lack of advance control like Poweramp provide.,
452320,Google Play Music,QadeerG Gaming,"May 31, 2019",5.0,love to listen music on this application,love to listen music on this app,
452322,Google Play Music,Yagya Thapa,"May 29, 2019",2.0,zrxzse use e sad do eating dinner sunday se ezezuz,",,,3zrxzs,see xz8see, e, sad do, eating dinner Sunday, se, e,zezuz",
452324,Google Play Music,Alex Ayars,"May 29, 2019",1.0,streaming device have to be reset daily play music application stop playing randomly streaming to goole home device has maybe a chance of actually working infuriating experience,Streaming devices have to be reset daily. Play Music application stops playing randomly. Streaming to Google Home devices has maybe a 50% chance of actually working. Infuriating experience.,
452325,Google Play Music,D RP,"May 29, 2019",2.0,what happened to the shuffle button,what happened to the shuffle button?,
452328,Google Play Music,Abigaba Patrick,"May 29, 2019",4.0,love the up can either play some music and watch some latest movie,love the up can either play some music and watch some latest movies,
452330,Google Play Music,Basetsana Kotsokoane,"May 29, 2019",1.0,will not open after they took my subscription,won't open after they took my subscription 😢,
452331,Google Play Music,Jenifer Challa,"May 29, 2019",5.0,i fell this is amazing,I FELL THIS IS AMAZING,
452333,Google Play Music,Morteza Mohaghegh,"May 29, 2019",1.0,stop playing by minor action,stop playing by minor action,
