id,appTitle,userName,date,score,text,original_text,bug_report
157440,Maps - Navigate & Explore,A Google User,"March 26, 2019",5.0,with has rated by rafiq bloch,with has rated by rafique baloCh,
157442,Maps - Navigate & Explore,All in one,"March 25, 2019",5.0,train route not available,Train route not available,
157441,Maps - Navigate & Explore,ramna sharma,"March 26, 2019",5.0,its nice for a person who is traveling alone and do not no much about this world,its nice for a person who is traveling alone and dont no much. about this world,
157443,Maps - Navigate & Explore,Itz Thalita Chan,"March 31, 2019",5.0,sanga membantu menghindari kemacetan,sangat membantu menghindari kemacetan,
157444,Maps - Navigate & Explore,A Google User,"March 21, 2019",5.0,nice application find best way,nice app find best way,
157445,Maps - Navigate & Explore,Sagar Punjabi,"March 24, 2019",5.0,good application helpful the many people,Good app helpful the many people,
157447,Maps - Navigate & Explore,Cardo Dalisay,"March 30, 2019",5.0,i love this goole map i always use this,i love this Google map i alwyas use this,
157446,Maps - Navigate & Explore,A Google User,"March 31, 2019",4.0,it doe a very good job,It does a very good job,
157449,Maps - Navigate & Explore,A Google User,"March 29, 2019",5.0,so cool love you this application,so cool love you this app,
157448,Maps - Navigate & Explore,A Google User,"March 29, 2019",5.0,nice application for delivery boy thanks,nice app for delivery boys thanks,
157450,Maps - Navigate & Explore,elangovan V M,"March 29, 2019",5.0,great accuracy and real time navigation,Great accuracy and real time navigation,
157452,Maps - Navigate & Explore,A Google User,"March 28, 2019",5.0,was vere good in giving information,Was vere good in giving information,
157451,Maps - Navigate & Explore,A Google User,"March 28, 2019",5.0,excellent aps its very helpful,excellent apps its very helpful,
157453,Maps - Navigate & Explore,jitendra saha,"March 27, 2019",3.0,good experience but could be better,Good experience but could be better,
157454,Maps - Navigate & Explore,Rishi Agarwal,"March 27, 2019",5.0,fantastic application help a lot,Fantastic app! Helps a lot,
157455,Maps - Navigate & Explore,A Google User,"March 27, 2019",5.0,easy to find out land mark,easy to find out land mark,
157456,Maps - Navigate & Explore,A Google User,"March 25, 2019",5.0,very good application thanks for ap,very good app thanks for aap,
157457,Maps - Navigate & Explore,Thirdy Macalinao,"March 25, 2019",5.0,very smooth reliable source thanks,verry smooth reliable source thanks,
