id,appTitle,userName,date,score,text,original_text,bug_report
367955,Maps - Navigate & Explore,Chris Yagliyan,"May 22, 2019",2.0,after latest update gps location is not a accurate and the application will not give me driving direction very annoying still having the issue which was fixed initially during the last update,After latest update gps location is not as accurate and the app won't give me driving directions... Very annoying... still having the issue which was fixed initially during the last update,
367964,Maps - Navigate & Explore,Santosh nd,"May 22, 2019",5.0,very helpful and its very good application,very helfull and its very Good Application,
367966,Maps - Navigate & Explore,Waqar Ahmad,"May 22, 2019",5.0,it is helpful for me to find out any plac,It's helpful for me to find out any plac.,
367969,Maps - Navigate & Explore,Miguel Alejandro Batista Pérez,"May 22, 2019",3.0,there is a lot of place than need actualization i wish you guy add a semi truck route,"there's a lot of places than need actualization, I wish you guys add a semi truck route.",
367968,Maps - Navigate & Explore,Robert Sell,"May 22, 2019",1.0,really guy were location pin ad pushing business that have no actual interest in not enough now you have to include full screen draw over ad a well not having stuff like that is the exact reason i have stuck with goole map for so long unacceptable,really guys? were location pin ads pushing business that ibhave no actual interest in not enough? now you have to include full screen draw over ads as well? not having stuff like that is the exact reason I've stuck with Google maps for so long. unacceptable,
367973,Maps - Navigate & Explore,Terrell Johnson,"May 22, 2019",5.0,best navigation and map in and all the way up to with street view ever and i like it and he is a jolly good fellow,Best Navigation and Maps in 2018!!!!!!! and All the way up to 2021 !!!!!!!!!!!!! With Street View Ever and I like it and he's a jolly good fellow.,
367975,Maps - Navigate & Explore,Saleem Khan,"May 22, 2019",5.0,salem khan cool application,saleem khan cool app,
367978,Maps - Navigate & Explore,vijayaben patel,"May 22, 2019",5.0,puri unita ka nash,Puri Duniya ka naksha,
367981,Maps - Navigate & Explore,MoKeN AnGu,"May 22, 2019",5.0,good neuf very useful application must install but i wish if there was a wateraid way root option also directionwhich help u to see the sub root for now editor please update you are application with this option if possible thanks,**** good enuf Very usefull app. Must install. But I wish if there was a water/air way root option  also..*gt direction*..which help us to see the sub root. **** for now.. Editor please update ur app with this option if possible. Thanks.,
367983,Maps - Navigate & Explore,Sandile Andries Ntanda,"May 22, 2019",5.0,good experience because i can recognize place more easily than asking direction to somebody,Good experience because I can recognize places more easily than asking direction to somebody.,
367984,Maps - Navigate & Explore,Gurjeetsingh saluja,"May 22, 2019",4.0,good experience while using it,Good experience while using it,
