id,appTitle,userName,date,score,text,original_text,bug_report
252441,Messenger – Text and Video Chat for Free,Sara Watkins,"April 14, 2019",1.0,it will not send my message or connect to my internet,It won't send my messages or connect to my internet.,
252442,Messenger – Text and Video Chat for Free,Aaron Wing,"April 14, 2019",1.0,you are a messaging application why are you using ad,you are a messaging app why are you using ads,
252443,Messenger – Text and Video Chat for Free,God isGood Jones,"April 14, 2019",3.0,its not working right now,its not working right now..?,
252446,Messenger – Text and Video Chat for Free,Brianna Fraser,"April 14, 2019",2.0,i have a report tomorrow and my only communication to my groupmates is this application suddenly my groupmates crashing,i have a report tomorrow and my only communication to my groupmates is this app. suddenly its crashing :(,
252451,Messenger – Text and Video Chat for Free,Ailha Rodriguez,"April 14, 2019",5.0,potangina stig giro use,Potangina Astig GSRO luse,
252450,Messenger – Text and Video Chat for Free,Muhammad Sarosh,"April 14, 2019",5.0,please help me i love messenger but can not use messenger because messenger logged me out of my acc and whenever i try to log in messenger say please check your internet connection,please help me. I love messenger but cant use it because it logged me out of my acc and whenever I try to log in it says please check your internet connection,
252453,Messenger – Text and Video Chat for Free,robert thomas,"April 14, 2019",1.0,worst application ever made complete waste off time worse then credit,worst app ever made complete waste off time worse then brexit,
252457,Messenger – Text and Video Chat for Free,Ryel Binag,"April 14, 2019",5.0,i amway this psi have communication to my family,im happy this apps...i have communication to my family,
252454,Messenger – Text and Video Chat for Free,Haru Takeshi,"April 14, 2019",1.0,what happen to my messenger i can not even log in my messenger say network error even if i have a data,what happen to my messenger i can't even log in it says network error even if i have a data,
252459,Messenger – Text and Video Chat for Free,Strange Great Gamer,"April 14, 2019",1.0,sometimes error connection for no reason i have grin discard with gig surf from smart,sometimes error connection for no reason i have 4g simcard with giga surf 50 from smart.,
252460,Messenger – Text and Video Chat for Free,Jaysea Ampatua,"April 14, 2019",1.0,i can not see the message from my friend why this is very bad,I can't see the messages from my friends why this is very bad 😡😡😡😡😡,
252465,Messenger – Text and Video Chat for Free,Munir Khan,"April 14, 2019",5.0,i love so much this application,i love so much this app,
252466,Messenger – Text and Video Chat for Free,Paul Anthony Juarez,"April 14, 2019",1.0,tang ina di ko manukyan yung messenger ko alam ko maman password at email ko ta may wife ami and ang wabi please check your conectionano yon tang ina maman,"tang ina di ko mabuksan yung messenger ko alam ko naman password at email ko tas may wifi kami and ang sabi ""pls check your connection""ano yon tang ina naman",
252468,Messenger – Text and Video Chat for Free,A Google User,"April 14, 2019",5.0,very nice i like it,Very nice i like it💓,
252470,Messenger – Text and Video Chat for Free,Chew Jian Xiong,"April 14, 2019",1.0,i got kicked because of session expiry trying to religion my linked official own face-on account but having problem login due to my intermittent connection even though my connection is running well by tested other aps done all the possible troubleshooting but none work,I got kicked because of session expiry. Trying to relogin my linked official own FB account but having problem login due to my intermittent connection even though my connection is running well by tested other apps. Done all the possible troubleshooting but none work.,
252469,Messenger – Text and Video Chat for Free,Emily Loi,"April 14, 2019",2.0,it crash on android,It crashes on androids,
252473,Messenger – Text and Video Chat for Free,buhay disyerto,"April 14, 2019",3.0,why i can not log in,why I can not log in,
252478,Messenger – Text and Video Chat for Free,Christine joy Racuba,"April 14, 2019",5.0,made my day easy,made my day easy,
252485,Messenger – Text and Video Chat for Free,Uptightbest14,"April 14, 2019",1.0,not letting me send or call,not letting me send or call,
252486,Messenger – Text and Video Chat for Free,Abdullah rafin,"April 14, 2019",5.0,nice application love nice application,nice app love it,
252487,Messenger – Text and Video Chat for Free,Rai Prakash,"April 14, 2019",5.0,hello thank you for message,hello thank you for message,
252495,Messenger – Text and Video Chat for Free,Milon Haulader,"April 14, 2019",5.0,its good application i like its,Its good app i like it,
252496,Messenger – Text and Video Chat for Free,A Google User,"April 14, 2019",1.0,when i use it was fabulous,when I use it was fabulouse,
252498,Messenger – Text and Video Chat for Free,PariX Beauty,"April 14, 2019",2.0,sometimes doe not work a well my connection be gone,sometimes doesn't work as well my connection be gone,
252501,Messenger – Text and Video Chat for Free,SIN OFGREED,"April 14, 2019",1.0,there were problem about my internet connection but it was not,there were problems about my internet connection but it wasn't,
252502,Messenger – Text and Video Chat for Free,Ibrahim Basit,"April 14, 2019",2.0,bug are present all the time,bugs are present all the time.,
252503,Messenger – Text and Video Chat for Free,Wyne Mabanding,"April 14, 2019",1.0,sira na maman messenger,sira na naman messenger,
252507,Messenger – Text and Video Chat for Free,Sabo,"April 14, 2019",5.0,edit than edit can we get a dark mode please c,EDIT : Thancc /EDIT Can we get a dark mode pls c: ?,
252508,Messenger – Text and Video Chat for Free,Jha'riez Taer,"April 14, 2019",3.0,i really love messenger because messenger is my favorite communication tool but somehow messenger is bothering me when i play mobile legend and then someone chat me or call me messenger get lag and messenger is so annoying my hero sometimes die because of the lag that you give could you please take an immediate action to an immediate action developer,"I really love messenger because it is my favorite communication tool but somehow it is bothering me. When I play mobile legends and then someone chat me or call me, it gets lag. And it is so annoying, my hero sometimes die because of the lag that you give. Could you please take an immediate action to it developer?",
252513,Messenger – Text and Video Chat for Free,Cristal Joy Pagulayan,"April 14, 2019",5.0,its ok to use its,its ok to use it,
252514,Messenger – Text and Video Chat for Free,{{EchØ StØne}},"April 14, 2019",4.0,i keep trying to log in but it say that i have no wife i clearly do i restarted my phone but it still will not work i know i am entering the correct phone number and password so it is not that can someone please tell me how to fix this,"I keep trying to log in, but it says that I have no wifi. I clearly do. I restarted my phone but it still won't work. I know I'm entering the correct phone number and password, so it's not that. Can someone please tell me how to fix this?",
252516,Messenger – Text and Video Chat for Free,Zmaj Šćekić,"April 14, 2019",1.0,ever since i have updated it i can not send message at all even though i receive message,"ever since I've updated it, I can't send messages at all, even though I receive messages",
252519,Messenger – Text and Video Chat for Free,Cherrie Mijares,"April 14, 2019",2.0,what happened to messenger after the update we are having issue while opening the application,What happened to messenger after the update? We are having issue while opening the app?,
252521,Messenger – Text and Video Chat for Free,Koruzu,"April 14, 2019",3.0,can not login even though my mobile data is fast please reply quick,Can't Login Even Though My Mobile Data Is Fast Please Reply Quick,
252522,Messenger – Text and Video Chat for Free,Atish Singh,"April 14, 2019",5.0,it is a dependable application in term of passing message to your family and friend,it's a dependable application in terms of passing messaged to your family and friends,
252525,Messenger – Text and Video Chat for Free,goky 888,"April 14, 2019",1.0,why my messenger said wait for network because i am using my data to load for an hour,why my messenger said wait for netwok because I am using my data to load for an hour,
252526,Messenger – Text and Video Chat for Free,Milfe Taburaza Salmorin,"April 14, 2019",5.0,nive aps very easy to use,nive apps very easy to use,
252527,Messenger – Text and Video Chat for Free,Akteruzzaman Bartion,"April 14, 2019",1.0,my messenger application do not have the dark mode but i use the latest update messenger application and my messenger application is have some major problem,my messenger app don't have the dark mode but I use the latest update messenger app and it's have some major problems,
252529,Messenger – Text and Video Chat for Free,Daniel Del Rosario,"April 14, 2019",1.0,all of a sudden i can not log in to my messenger account whenever i try to log in my messenger account just say that my internet connection is not stable for the record there is nothing wrong with my internet connection please fix this a soon a possible,"All of a sudden, I can't log in to my messenger account. Whenever I try to log in, it just says that my internet connection is not stable. For the record, there is nothing wrong with my internet connection. Please fix this ASAP.",
252530,Messenger – Text and Video Chat for Free,Meaghan Franchi,"April 14, 2019",1.0,i tried to open the application this morning and the application will not load i tried uninstaling and installing still nothing i then went ahead and downloaded the lite version same problem whats going on,I tried to open the app this morning and it wont load .. I tried uninstalling and reinstalling .. still nothing .. I then went ahead and downloaded the Lite version .. same problem ... Whats going on ??,
252533,Messenger – Text and Video Chat for Free,Paupau QT,"April 14, 2019",5.0,the best communication application ever,the best comunication app ever,
252541,Messenger – Text and Video Chat for Free,bibby enterprise,"April 14, 2019",1.0,this is b my messenger int working hast for hour fix b my messenger now,this is bs my messenger isnt working hasmt for 6 hours fix it now,
252542,Messenger – Text and Video Chat for Free,TonyRich Ntuno,"April 14, 2019",5.0,what i want everything simple in this application essay going thanks,What I want everything simple in this app. Essay going thanks,
252543,Messenger – Text and Video Chat for Free,Matthew Jones,"April 14, 2019",2.0,work sometimes when i am trying to chat with friend and family it is ok for a little while and then it keep saying connecting and i have full broadband it is every time face-on update happen something go wrong,"works sometimes, when I'm trying to chat with friends and family it's OK for a little while and then it keeps saying connecting and I have full broadband, it's every time Facebook updates happen something goes wrong",
252545,Messenger – Text and Video Chat for Free,pragya Joshi,"April 14, 2019",5.0,nld sweet home l lj missed a bus sweet home p l l,nld✨💎💎✨💎💎✨ 💎💎💎💎💎💎💎 💎💎💎💎💎💎💎 ✨💎💎💎💎💎✨; 🚙💨🚦🚗🚕🚓 ﻿😚 Sweet Home ✨ 🏠❤🏠💃💛🏃🎶🎶 🚌💨💨 l llj💨🏃😂 Missed a bus! ﻿😚 Sweet Home ✨ 🏠❤🏠💃💛🏃🎶p✨💎💎💎✨✨ ✨✨✨💎✨✨✨ l l,
252546,Messenger – Text and Video Chat for Free,Laurendo Cruz,"April 14, 2019",3.0,i can not connect although i have a stable internet and wife connection i also tried to instal and deinstall the application yet i can not log in the application very frustrating,I can't connect although i have a stable internet and wifi connection. I also tried to uninstall and reinstall the app yet I can't log in. Its very frustrating.,
252547,Messenger – Text and Video Chat for Free,FamousRGA,"April 14, 2019",1.0,lagging delayed slow in some area,lagging delayed slow in some areas,
252549,Messenger – Text and Video Chat for Free,Alvin Castro,"April 14, 2019",1.0,my messenger and face-on is not working,my messenger and Facebook is not working,
252551,Messenger – Text and Video Chat for Free,shane tagpuno,"April 14, 2019",1.0,since the last update can not use my messenger with my mobile dataeven though i use left doe not work properly now can not even log in,SINCE THE LAST UPDATE....I CAN'T USE MY MESSENGER WITH MY MOBILE DATA.....EVEN THOUGH I USE LTE!!!........IT DOESN'T WORK PROPERLY NOW....I CAN'T EVEN LOG IN!!!,
