id,appTitle,userName,date,score,text,original_text,bug_report
522686,Messenger – Text and Video Chat for Free,Ma Rongon,"February 14, 2019",1,please change logo styled everyday update off please,please change logo style....and everyday update off please,
522687,Messenger – Text and Video Chat for Free,Guat93,"February 16, 2019",4,the application has become better a new update come but i see that those update only make the application heavier in mb are all the up date worth the addition of more mb is there any possible way to make the application a little le heavier that is a good suggestion on my part everything else seems to work just fine,"The app has become better as new update come, but I see that those updates only make the app heavier in MB. Are all the up dates worth the addition of more MB? Is there any possible way to make the app a little less heavier. That is a good suggestion on my part. Everything else seems to work just fine.",
522690,Messenger – Text and Video Chat for Free,Erik Richardson,"February 14, 2019",4,recent conversation disappear sometimes my recent conversation will just disappear without being archived being archived are still viewable on the web just not in the application until i search the contact a if i am going to send a new message then the contact recall the conversation mailed support and being archived closed my claim saying it was fixed it is not fixed,Recent conversations disappear? Sometimes my recent conversations will just disappear without being archived. They're still viewable on the web.... Just not in the app until I search the contact as if I'm going to send a new message then it recalls the conversation. Emailed support and they closed my claim saying it was fixed. It's not fixed.,
522691,Messenger – Text and Video Chat for Free,Clairobelle Codilla,"February 13, 2019",1,recently messenger was switching out when i was changing my profile picture i tried deleting messenger when i tried to log back into my account my account appears that my account doe not exist when i also tried to use my phone number my phone number lead me to a different account i previously used my phone number but now my phone number will not work i also do not remember my password so there is no way for me to get back my account and this greatly affect me,"Recently messenger was glitching out when I was changing my profile picture. I tried deleting messenger. When I tried to log back into my account, it appears that my account ""does not exist"". When I also tried to use my phone number, it lead me to a different account. I previously used my number, but now it won't work. I also don't remember my password so there is no way for me to get back my messenger account and this greatly affects me.",
522692,Messenger – Text and Video Chat for Free,,"February 15, 2019",1,will not allow me to use messenger without a face-on account even though messenger say one is not needed to do so used messenger briefly chatted with old friend i found only to wake up to a friend asking me where i went removed our message and said messenger is been blocked or reported a spam until verification of identity could be confirmed i get the confirmation via text thru phone number and still nothing it is been day it was enjoyable to actually use without the face-on drama and several safety concern,"wont allow me to use messenger without a Facebook account even though it says one isn't needed to do so. used it briefly, chatted with old friends I found only to wake up to a friend asking me where I went. removed our messages & said it's been blocked or reported as spam until verification of identity could be confirmed. I get the confirmation # via text thru phone number & still nothing! it's been days!!. it was enjoyable to actually use without the Facebook drama and several safety concens.",
522693,Messenger – Text and Video Chat for Free,Pam Predmore,"February 15, 2019",1,i hate it it interrupt me when i am not even logged on to face-on never shuts off even when i turn it off suprisingly it turn it back on get rid of it go back to the old one now once again i am being forced to update messenger it even blocked me from getting on face-on unless i updated so of course i had to delete other stuff to make room for the update messenger sock,"I hate it!!!! It interrupts me when I'm not even logged on to facebook. Never shuts off even when I turn it off, Suprisingly it turns itself back on!!!! Get rid of it, go back to the old one....so now once again I am being forced to update messenger. It even blocked me from getting on facebook unless I updated. So of course I had to delete other stuff to make room for the update. Messenger S*cks",
522694,Messenger – Text and Video Chat for Free,,"February 14, 2019",1,for the past month what is new update message were the same even though stuff has in fact changed the application take too much space and i can not remove loaded message from my phone without wiping everything the application is mb on the application own but take up ridiculous mb more a soon a i log in i would use the lite version but it is a bit too lite without emotion,"For the past 6 months, ""what's new"" update messages were the same even though stuff has, in fact, changed. The app takes too much space, and I can't remove loaded messages from my phone without wiping everything. The app is 100MB on its own, but takes up ridiculous 60MB more as soon as I log in. I'd use the lite version, but it's a bit too lite without emoticons.",
522695,Messenger – Text and Video Chat for Free,The Other Jasyuri,"February 16, 2019",2,every emosi update is just getting worse and worse i think most people use the emosi to somehow express most people and changing that so often and so drastically is awful the recent one look absolutely terrible i would recommend making a feature in which you can change the style of emosi i do not like the new one at all and i would be very happy to be able to change back to the one before,"Every emoji update is just getting worse and worse. I think most people use the emojis to somehow express themselves and changing that so often and so drastically, is awful. The recent ones look absolutely terrible. I would recommend making a feature in which you can change the style of emojis. I do not like the new ones at all and I would be very happy to be able to change back to the ones before.",
522696,Messenger – Text and Video Chat for Free,NUGGET TIME,"February 18, 2019",3,it is a good application i have been using it for year and it how i keep in touch with my mum but why do you have to have a phone number to use it can not you just send an email verification i do not get it,"It's a good app, ive been using it for years and its how i keep in touch with my mum, but WHY DO YOU HAVE TO HAVE A PHONE NUMBER TO USE IT? Cant you just send an email verification...? i dont get it.......",
522698,Messenger – Text and Video Chat for Free,Dallas Chee,"February 18, 2019",1,every time i try and send a message after the newest update a message take literally an hour to send and a message not my network service because i called and asked why my service was acting to and they said my service is running fine with all high speed please fix this or ill just give all this face-on stuff up,"Every time i try and send a message after the newest update it takes literally an hour to send. And its not my network service because i called and asked why my service was acting uo and thwy said my service is running fine, with all high speed. Please fix this or ill just give all this ""facebook"" stuff up.",
522700,Messenger – Text and Video Chat for Free,Cameron Dorman,"February 14, 2019",2,i do like some of the feature it is an improvement over regular text messaging on my phone however i did not like getting unsolicited robotexts from business i have no relationship with i found it annoying and an invasion of privacy i understand the need for advertising but not by being bombarded with unwanted text message,"I do like some of the features. It's an improvement over regular text messaging on my phone. However, I did not like getting unsolicited robo-texts from businesses I have no relationship with. I found it annoying and an invasion of privacy. I understand the need for advertising but not by being bombarded with unwanted text messages.",
522701,Messenger – Text and Video Chat for Free,Tom Gray,"February 17, 2019",3,it is a great chat application it is a battery hog though face-on messenger need a dark mode desperately face-on is struggling to maintain face-on younger audience and failure to innovate and keep up to date with trend dark mode is part of the reason why getting old a stale face-on,"It's a Great chat app, it's a battery hog though. FB messenger needs a Dark Mode desperately. Facebook is struggling to maintain their younger audience, and failure to innovate and keep up to date with trends (Dark Mode) is part of the reason why. Getting old a stale FB...",
522702,Messenger – Text and Video Chat for Free,Genevieve Istas,"February 14, 2019",4,i prefer messenger over other aps there are so many to choose from but most people have messenger installed while overseas we were able to keep in touch with friend and family effortlessly there were connectivity issue but connectivity issue still work well for me,"I prefer Messenger over other apps. There are so many to choose from but most people have Messenger installed. While overseas we were able to keep in touch with friends and family effortlessly. There were connectivity issues, but it still works well for me.",
522703,Messenger – Text and Video Chat for Free,,"February 15, 2019",5,need to have the world to not be able to read everything i message i like my privacy in my conversation with others if this is not possible i will delete messenger and go back to the telephone which i still have the technology of the world are not always to be shared so please keep me informed on your decision to make messenger private site for ordinary conversation in which the world doe not read,Need to have the world to not be able to read everything I message .I like my privacy in my conversation with others.So if this is not possible I will delete messenger and go back to the telephone which I still have. The technology of the world are not always to be shared. So please keep me informed on your decision to make Messenger private site for ordinary conversations. In which the world Does not read,
522704,Messenger – Text and Video Chat for Free,,"February 16, 2019",1,your new feature of deleting message is useless there should be no notification that you deleted a message just keep a message simple a possible when someone deleted a message member of the group chat should not be able to see that someone deleted a message please try to fix this a soon a possible and also please roll out the dark mode most especially here in philippine thanks,"Your new feature of deleting message is USELESS. There should be no notification that you deleted a message. Just keep it simple as possible. When someone deleted a message, members of the group chat should not be able to see that someone deleted a message. Please try to fix this ASAP! And also, pleaae roll out the Dark Mode most especially here in Philippines! Thanks!",
522705,Messenger – Text and Video Chat for Free,BJ Hutton,"February 15, 2019",4,this is a great chat and call application however no sm automatic drop-down for our security code rather one need to rundown notification bar a copy code method at the bottom is provided for twitter security code and not other social medium where code is located in middle of text sm chat header are stupid message notification sound on occasion i heard a pop sound with no bar notification there was no fix a so sm unstable for notification to use striker is lounge couture,"This is a great Chat and Call application, however no SMS automatic dropdown for our security codes, rather one needs to pulldown notification bar. A copy code method at the bottom is provided for Twitter security codes, and not other social media, where code is located in middle of text. SMS chat headers are stupid. MSG Notification sound on occasion, I heard a Pop sound with No - Bar Notification. There was no fix, as so SMS unstable for notifications to use. - Stryker's Lounge [YouTube]",
522706,Messenger – Text and Video Chat for Free,,"February 15, 2019",3,when i stay silent during video call for a while the person i am calling with start to hear a terrible noise microphone is sensitivity increase horribly i do not think it has anything to do with driver of the phone or hardware whatsit call work like a charm,"when I stay silent during video calls for a while, the person I am calling with starts to hear a terrible noise. microphone's sensitivity increases horribly. I don't think it has anything to do with drivers of the phone or hardware. WhatsApp calls work like a charm.",
522707,Messenger – Text and Video Chat for Free,Chung Yeek Chua,"February 14, 2019",3,after update having problem with the aps it will always show no people online if close the aps and reopen back need to clear background aps and open again only show correct information previous no such problem updated few version but this prob still exist,"after update having problems with the apps, it will always show no people online if close the apps and reopen back. need to clear background apps and open again only show correct information. previous no such problem, updated few version but this prob still exist",
522708,Messenger – Text and Video Chat for Free,Michael houghton,"February 15, 2019",1,it is lay it is bloated it is been redesigned but it still suck absolutely pathetic that this is the best a corporation worth billion of dollar can do the whole damn thing need to be scrapped and rebuilt from the ground up hopefully by a group of people with some sense,It's laggy. It's bloated. It's been redesigned but it still sucks. Absolutely pathetic that this is the best a corporation worth billions of dollars can do. The whole damn thing needs to be scrapped and rebuilt from the ground up. Hopefully by a group of people with some sense.,
522709,Messenger – Text and Video Chat for Free,sabrina romero,"February 17, 2019",1,messenger is ok but lately when i tried to connect my bluetooth been having a lot of problem where my bluetooth ring on my bluetooth but answer the call on my phone instead of my bluetooth then have to call the person over and over again also having to shut off my phone it is just a hassle please fix this problem a soon a possible i am not the only person having this problem on messenger,Messenger is ok but lately when I tried to connect my bluetooth been having a lot of problems where it rings on my bluetooth but answers the call on my phone instead of my bluetooth. Then have to call the person over and over again. Also having to shut off my phone it's just a hassle. PLEASE FIX THIS PROBLEM ASAP. I'm not the only person. having this problem on messenger.,
522710,Messenger – Text and Video Chat for Free,Christina Gaudette,"February 17, 2019",5,great way to communicate or get hold of someone studying private investigation criminal defense at ashworth college mother of a daughter and grandad i am also a advocate for felon is and mother of a daughter and grandad right mother of a daughter and grandad did mother of a daughter and grandad time who are we to judge mother of a daughter and grandad and make mother of a daughter and grandad fail,"Great way to communicate or get ahold of someone. Studying Private Investigation (Criminal Defense), at Ashworth College. Mother of a daughter and 2 grandkids. I'm also a advocate for felon's and their rights. (They did their time, who are we to judge them and make them fail)????",
522711,Messenger – Text and Video Chat for Free,Angelina. V,"February 17, 2019",5,love this application need help with password a i he new phone and on the middle of a move i he dif everything would not work on my new phone yet cracked old one work fabulous let me know of there is any support number plus thank you,love this app need help with password as I hv new phone and on the middle of a move I hv diff everything. wouldn't work on my new phone. yet cracked old one works fabulous! Let me know of there is any support number. 5 plus thank you!,
