id,appTitle,userName,date,score,text,original_text,bug_report
433846,Messenger – Text and Video Chat for Free,linda murch,"March 9, 2019",1.0,do not like it,Don't like it.,
433845,Messenger – Text and Video Chat for Free,Jeston Daniel,"March 9, 2019",4.0,the new update seems to have some problem sending photo used to be fast but now it is very very slow i even waited for hour but no it is still not sending please fix this immediately,"The new update seems to have some problems. Sending photos used to be fast but now it's very, very slow. I even waited for hours but no, it's still not sending. Please fix this IMMEDIATELY.",
433851,Messenger – Text and Video Chat for Free,,"March 9, 2019",5.0,its working now tax,Its working now. Tnx,
433858,Messenger – Text and Video Chat for Free,,"March 9, 2019",5.0,i love it but i have one request can you add wallpaper on it,I love it but I have one request can you add wallpaper on it,
433860,Messenger – Text and Video Chat for Free,,"March 9, 2019",5.0,i think messenger is good,I think messenger is good,
433861,Messenger – Text and Video Chat for Free,Warren Dawson,"March 9, 2019",1.0,i can not see nobody story why,i can't seee nobody story why😤😤😤,
433864,Messenger – Text and Video Chat for Free,,"March 9, 2019",1.0,i can not turn on my dark mode,i cant turn on my dark mode,
433865,Messenger – Text and Video Chat for Free,hammed faruq,"March 9, 2019",5.0,best application for chatting i love it keep it up,"best app for chatting, I love it. keep it up👆",
433866,Messenger – Text and Video Chat for Free,Chris Burnside,"March 9, 2019",2.0,the new message sound are to quit and should be changed back to what they where before you all started screwing with they,the new message sounds are to quit and should be changed back to what they where before you all started screwing with them....,
433868,Messenger – Text and Video Chat for Free,,"March 9, 2019",4.0,always a good application hoping for more special feature,always a good app hoping for more special features..,
433871,Messenger – Text and Video Chat for Free,,"March 9, 2019",5.0,for video call and every think using to easy,for video call and every thinks using to easy,
433873,Messenger – Text and Video Chat for Free,Harold Kim Addun,"March 9, 2019",1.0,this is very in portal,this is very in portan,
433880,Messenger – Text and Video Chat for Free,,"March 9, 2019",5.0,great application and very much needed beware of key word during chat face-on sgr is now monitored to a certain extent,"Great app and very much needed... Beware of ""key words"" during chat, FB msgr is now monitored, to a certain extent.",
433886,Messenger – Text and Video Chat for Free,,"March 9, 2019",4.0,it is great i like it,"it's great, i like it",
433888,Messenger – Text and Video Chat for Free,MAGNUM BONUM,"March 9, 2019",1.0,when someone send you pic or video the quality is then worst,when someone send you pics or video the quality is then worst,
433889,Messenger – Text and Video Chat for Free,,"March 9, 2019",5.0,its good but sometimes its log,its good but sometimes its log,
433892,Messenger – Text and Video Chat for Free,,"March 9, 2019",1.0,i can not find dark mode,I cannot find dark mode.,
