id,appTitle,userName,date,score,text,original_text,bug_report
193985,Messenger – Text and Video Chat for Free,Ethan Catz,"May 6, 2019",3.0,video is on people is daystories are extremely blurry so you can barely see anything the new update doe not have an emosi panel which i am used to and picture lose quality when you send/receive picture and come out very blurry can this be fixed,"Video's on people's days/stories are extremely blurry so you can barely see anything, the new update doesn't have an emoji panel which I'm used to, and pictures lose quality when you send/receive them and come out very blurry. Can this be fixed...",
193986,Messenger – Text and Video Chat for Free,Keith Withers,"May 4, 2019",4.0,experiencing problem of getting messenger set up a default machine came with messaging i can not get messenger to be default nor can i get rid of messaging,experiencing problem of getting messenger set up as default. machine came with Messaging I can't get Messenger to be default nor can I get rid of Messaging,
193987,Messenger – Text and Video Chat for Free,Sandra Jane Bridgewaters,"May 7, 2019",2.0,still do not understand mesengerchat but will get the hang of it having a hard time removing one face-on chat person about a baby goat that this woman is taking care of that is all,"Still don't understand messenger/chat, but will get the hang of it, having a hard time removing one Facebook chat person. About a baby goat that this women is taking care of, that's all.",
193988,Messenger – Text and Video Chat for Free,Chris Zahm,"May 6, 2019",1.0,it had ad that show up in your personal message list that can not be removed also they sell your data and personal private message content to the russian who in turn use it to try to crush the democracy that we live in nothing would be better for the russian than if democracy fails,"It had ads that show up in your personal message list that cannot be removed..... also they sell your data and personal private message content to the Russians ... who in turn use it to try to crush the democracy that we live in, nothing would be better for them than if democracy fails.",
193989,Messenger – Text and Video Chat for Free,Sarah Wright,"May 5, 2019",1.0,since the update every call echo please fix the update every call echo it is so annoying you can not have a conversation,"since the update, every call echos. please fix it. it's so annoying, you cant have a conversation.",
193990,Messenger – Text and Video Chat for Free,Jennifer Kignak,"May 6, 2019",1.0,updated the application used the application to message then somehow uninstaled on the application is own a day and half after updating disgusted,"updated the app, used it to message then somehow uninstalled on it's own a day and half after updating. ugh.",
193991,Messenger – Text and Video Chat for Free,todd smith,"May 7, 2019",1.0,took forever and i wish you week would quit bothering people bc you come up w some small change do not need the damn update,took forever and I wish you geeks would quit bothering ppl bc u come up w some small change. dont need the damn updates.,
193992,Messenger – Text and Video Chat for Free,Palánkai Bea,"May 6, 2019",1.0,i am very unhappy with this application lately this application early can not handle full hd video and given that i can only take full hd video this application is very sad that i can not share full hd video with my family,"I am very unhappy with this app lately, it learly can't handle full hd videos and given that i can only take full hd videos it's very sad that i cannot share them with my family... 😢",
193994,Messenger – Text and Video Chat for Free,Jen H,"May 7, 2019",2.0,can never see when someone is trying to message me used to be a button you could like on to see your message request no longer there and they do not always pop up,Can never see when someone is trying to message me. used to be a button you could like on to see your message requests. no longer there and they don't always pop up,
193995,Messenger – Text and Video Chat for Free,Chupol,"May 6, 2019",1.0,sir my sending sm is blocked i do not know how this happened who sent the wrong smsbto unknown people i am sorry i will avoid to do this please unblock my messenger,Sir my sending SMS is blocked. i don't know how this happened who sent the wrong SMSbto unknown people i am sorry I'll avoid to do this please unblock my messenger,
193998,Messenger – Text and Video Chat for Free,Arnold Nistad,"May 6, 2019",5.0,the only thing i do not like is that you have to delete each and every conversation one at a time there should be a feature to delete all option,the only thing i do not like is that you have to delete each and every conversation one at a time. there should be a feature to delete all option,
193999,Messenger – Text and Video Chat for Free,Halah Abdul-Hamed,"May 6, 2019",3.0,i hate that the last seen do not last more than hour and then nothing showed it is a big disadvantage i wish you back it a before,"I hate that the last seen don't last more than 3 hours and then nothing showed it's a big disadvantage, i wish you back it as before",
193996,Messenger – Text and Video Chat for Free,Trong Tam Hoang,"May 8, 2019",2.0,video calling audio was echo noise so many complaint my phone but another application work well please help fix,Video calling audio was echo noise. So many complaints my phone but another app work well. please help fix :(,
193997,Messenger – Text and Video Chat for Free,Charles Skidmore,"May 7, 2019",1.0,just have to many face-on and messenger unwanted account that messenger made and i send a photo of myself or family then i am told i did not have permission to send my folk get message i did not he permission to my own photo just because face-on and messenger has put face-on and messenger in about face-on and messenger made for myself and still face-on messenger will not even try to address this now issue hate messenger,just have to many fb and messenger unwanted accounts that messenger made and i send a phota of myself or family then i am told i did not have permission to send my folks get message i did not hve permission to my own photos just cuz fb and mesenger has put them in accoumt they made for me And still facebook messenger wont even try to address this now issue hate it,
194000,Messenger – Text and Video Chat for Free,md alam,"May 4, 2019",1.0,this application always stay sign in even after log out this application always save the password and by or click again this application always get sign in this application saving the information without our knowledge please fix the burrow a application can be log in without a password,this app alwys stay sign in even after log out it saves the password and by 2 or 3 click again it get sign in... this app saving the information without our knowledge... Please fix the bug...how a app can be log in without a password??,
194001,Messenger – Text and Video Chat for Free,Lee Lee,"May 5, 2019",3.0,so far it is been working fine i had to get a new feature on my computer part i will be checking if it work right but another is normally used to work real good if i have a question then i asked and so far that is been working to thank you,so far it's been working fine I had to get a new feature on my computer parts I will be checking if it works right but another is normally used to work real good if I have a question then I asked and so far that's been working to thank you,
194002,Messenger – Text and Video Chat for Free,Zsanea Yamamoto,"May 3, 2019",1.0,constantly after every update i have to restart my phone and instal and deinstall every update i am getting people message but i can not send people message without every update failing,"Constantly after every update I have to restart my phone and uninstall and reinstall it. I'm getting people messages, but I cant send them without it failing.",
194003,Messenger – Text and Video Chat for Free,A BiCi,"May 5, 2019",1.0,always full of problem after check what the thing that is my friend send me have to restart the phone i am using samsung note surely not my phone problem,"always full of problem after check what the things that's my friends send me, have to restart the phone (I'm using Samsung note8) surely not my phone problem",
194004,Messenger – Text and Video Chat for Free,ariful karim,"May 7, 2019",2.0,all emosi are not supported in this new version,all emoji r not supported in this new version,
194005,Messenger – Text and Video Chat for Free,Jonhathan Dube,"May 3, 2019",5.0,i do call video or just a call through messenger without eating much data i salute keep messenger up burning,"I do call videos or just a call, through messenger without eating much data. I salute keep it up burning",
194006,Messenger – Text and Video Chat for Free,Md: Soikot,"May 8, 2019",1.0,now a day this application service is very bad,Now a days this app service is very bad.,
194007,Messenger – Text and Video Chat for Free,Kimberly Winner,"May 6, 2019",1.0,it is all glitch and freeze your update suck,it's all glitchy and freezes.. your updates suck,
194008,Messenger – Text and Video Chat for Free,Saikat Saha,"May 7, 2019",4.0,some time message doe not received properly,Some time msg does not recived properly,
194009,Messenger – Text and Video Chat for Free,Peter Lam,"May 7, 2019",1.0,face-on is monitoring your chat in messenger tried to send a ware link to someone and a ware link was blocked by messenger sent a ware link with whatsit which is encrypted with no issue,"FACEBOOK IS MONITORING YOUR CHATS IN MESSENGER.  Tried to send a warez link to someone & it was blocked by Messenger.  Sent it with WhatsApp, which is encrypted, with no issues.",
194010,Messenger – Text and Video Chat for Free,Gracia Ella Batara,"May 8, 2019",5.0,i thought messenger is for free but why i can not send message when my load or data expired,i thought messenger is for free. but why i cant send messages when my load or data expired. 😠,
194011,Messenger – Text and Video Chat for Free,Antwoine Price,"May 8, 2019",1.0,it keep updating even after i decline the update,it keeps updating even after I decline the update,
194012,Messenger – Text and Video Chat for Free,Ludmila Gazdova,"May 7, 2019",1.0,session expired log in again session expired log in again update the application update the application session expired i just want to read my message why is it so hard,"Session expired, log in again! Session expired, log in again! Update the app! Update the app! Session expired! I JUST WANT TO READ MY MESSAGES why is it so hard",
194013,Messenger – Text and Video Chat for Free,Sha'Dee Dimon,"May 5, 2019",3.0,kind of a lot of static when in video call and echo when on voice call,kind of a lot of static when in video calls and echoes when on voice calls,
194014,Messenger – Text and Video Chat for Free,Julianne Sia,"May 3, 2019",1.0,keep on crashing,Keeps on crashing.,
194015,Messenger – Text and Video Chat for Free,Vidyadhar Tripathi,"May 7, 2019",5.0,phone is not being connected with messenger show it possible,phone is not being connected with messenger whowis it possible,
194016,Messenger – Text and Video Chat for Free,Amber Adams,"May 7, 2019",3.0,voice message keep saying error on both end,voice messages keep saying error on both ends,
194017,Messenger – Text and Video Chat for Free,Ashis Samaddar,"May 4, 2019",1.0,i am not able to send messenger to anyone why,I'm not able to send messengers to anyone why,
194018,Messenger – Text and Video Chat for Free,Mila Chain,"May 4, 2019",5.0,this is amazing were ever you go you can text you are friend or call friend also if friend are far away you can still call so yas star,this is amazing were ever u go u can text ur friends or call them also if they are far away u can still call so yasssss 5 stars 😍😍😍😍😍😍,
