id,appTitle,userName,date,score,text,original_text,bug_report
407364,Microsoft Outlook,Kobus van Zyl,"April 16, 2019",5.0,it is quick and reliable,It is quick and reliable,
407356,Microsoft Outlook,R B,"April 18, 2019",4.0,it is reliable i would recommend it,it's reliable. I would recommend it,
407365,Microsoft Outlook,Brian Villers,"April 16, 2019",4.0,work fairly well,Works fairly well.,
407371,Microsoft Outlook,Jason Gould,"April 16, 2019",5.0,must have for work,Must have for work.,
407370,Microsoft Outlook,Philip Barr,"April 16, 2019",1.0,doe not work it is perpetually stuck at please wait a moment we are downloading your mail a deinstall sometimes fix this but only for a short period of time login is through office and okra,"Doesn't work, it's perpetually stuck at ""please wait a moment we are downloading your emails."" A reinstall sometimes fixes this, but only for a short period of time. Login is through Oiffice365 and Okta.",
407372,Microsoft Outlook,Lidia Musat,"April 16, 2019",5.0,work good so far,Works good so far,
407375,Microsoft Outlook,Paul Rotter,"April 16, 2019",5.0,intuitive and no issue after six month of use with multiple account,Intuitive and no issues after six months of use with multiple accounts.,
407379,Microsoft Outlook,Dante Bencivenga,"April 16, 2019",3.0,i use this application because i have to not because this application is particularly good there are often random bug more than one would expect from a normal application and for some bug some bug apparently unviable according to the support team,"I use this app because I have to, not because it's particularly good. There are often random bugs (more than one would expect from a normal app) and for some bugs they apparently unfixable according to the support team.",
407378,Microsoft Outlook,Pam Phillips,"April 16, 2019",5.0,easy to use,Easy to use!,
407383,Microsoft Outlook,Einstein Amirtharaj,"April 16, 2019",5.0,cool stuff very easy very fast do not have to search for thing,cool stuff. very easy very fast. dont have to search for things.,
407384,Microsoft Outlook,Julian Thompson,"April 16, 2019",5.0,great application for business or personal email and calendar,Great App for Business or personal email and calendar.,
407386,Microsoft Outlook,Lon Lonlon,"April 16, 2019",1.0,crash all of the time this is my rd install i have no other option but to use this application,crashes all of the time. this is my 3rd install. i have no other option but to use this app,
407385,Microsoft Outlook,Lisa Daniels,"April 16, 2019",5.0,great application no hiccup,Great app no hiccups,
407389,Microsoft Outlook,Adam Marks,"April 16, 2019",5.0,best option for email,best option for email,
407387,Microsoft Outlook,Geoff Millar,"April 16, 2019",5.0,outlook is a great experience,outlook is a great experience,
