id,appTitle,userName,date,score,text,original_text,bug_report
631043,Microsoft Outlook,,"February 15, 2019",3,i usually like the application but the recent update have bug when i try to reply all to an email it lock up and nothing work except my home button to get out of the application even if i go back in and try again outlook lock up again please include this fix in the next update so i can go back to a star rating,"i usually like the application, but the recent updates have bugs. when i try to ""reply all"" to an email, it locks up and nothing works except my home button to get out of the application. even if i go back in and try again, outlook locks up again. please include this fix in the next update so i can go back to a -star rating. ",
631044,Microsoft Outlook,Klyde B,"February 15, 2019",1,i was forced to change my long lasting password for nothing i checked the recent activity and the recent activity failed to authenticate for some reason from my phone it is good to be secure but this is bulcrapi am going to use still until i find an alternative so far i am not impressed,"i was forced to change my long lasting password for nothing. i checked the recent activity and the recent activity failed to authenticate for some reason from my phone. it is good to be secure, but this is bullcrap.i am going to use still until i find an alternative. so far, i am not impressed.",
631046,Microsoft Outlook,,"February 14, 2019",2,i love the application but the setting for notification sound for new email change to none no sound from time to time when that happens i have to instal and install again a i have to respond quickly a soon a i get new email from work this is a bit annoying,"i love the application, but the setting for notification sound for new emails changes to none (no sound) from time to time. when that happens i have to uninstall and install again. as i have to respond quickly as soon as i get new emails from work, this is a bit annoying",
631048,Microsoft Outlook,,"February 15, 2019",4,classic version better than new one i arnot like this question can not searching some time not able to read mail because related to long message so need classic version,classic version better than new one i amnot like this vestion cannot searching some time not able to read mail because related to long message so need classic version,
631049,Microsoft Outlook,Grant Henry,"February 16, 2019",1,there basically nothing i like or prefer about outlook a an email client,theres basically nothing i like or prefer about outlook as an email client.,
631050,Microsoft Outlook,Nev C,"February 16, 2019",1,still suck for finding old email or even recent one in flagged literally have to find them and open to regain a flagedlike priority status defeating the point also junk filter suck important email going to junk folder rage draft always inaccessible with sync in progress message appearing notification pane is a pain also swipe email off to read later they auto reappear in mere second outlook has always sucked on mobile platform over the year for some reason,"still sucks for finding old emails or even recent ones in flagged! (literally have to find them and open to regain a 'flagged-like' priority status - defeating the point!) also junk filter sucks! important emails going to junk folder = rageee. drafts always inaccessible with 'sync in progress' message appearing. notification pane is a pain also (swipe emails off to read later, they auto re-appear in mere seconds ) outlook has always sucked on mobile platform over the years for some reason /",
631052,Microsoft Outlook,Patrick Memmi,"February 18, 2019",3,this is a free application this a like clunky and this doe have bug a calendar entry that copy itself several time another that can not be deleted,"this is a free application. this a liytke clunky and this does have bugs a calendar entry that xopies itsemf several times, another that cannot be deleted.",
631051,Microsoft Outlook,Christina Cronin,"February 18, 2019",1,the application will not make any notification sound which is so annoying even if i download notification sound or actually use the android sound built in please fix it i have missed so many thing because of this,"the application will not make any notification sound which is so annoying even if i download notification sounds or actually use the android sounds built in. please fix it, i have missed so many things because of this",
631054,Microsoft Outlook,Ian Turner,"February 17, 2019",3,fails to open sometimes and need to be installed,fails to open sometimes and needs to be reinstalled.,
631053,Microsoft Outlook,sunil kumar,"February 17, 2019",4,sometimes folder other than into is not visible fix the bug,sometimes folder other than inbox is not visible. fix the bug,
631055,Microsoft Outlook,quan nguyen duc,"February 17, 2019",3,i lost my meeting in calender in this update it iso bad,i lost my meeting in calender in this update. it iso bad.,
631056,Microsoft Outlook,,"February 17, 2019",5,been with version for many year now never been let down always there when needed internet usage is very responsive,"been with verizon for many years now, never been let down, always there when needed. internet usage is very responsive.",
631057,Microsoft Outlook,,"February 18, 2019",3,can not log out from this application,cannot log out from this application.,
631058,Microsoft Outlook,,"February 15, 2019",5,i am working in an international organization it can help me to to email early,i am working in an international organization.so it can help me to to email easly,
631059,Microsoft Outlook,Suresh Tananki,"February 17, 2019",5,though the screen size in a mobile is smaller than laptop i am enjoying this application on my android phone,"though the screen size in a mobile is smaller than laptop, i am enjoying this application on my android phone.",
631060,Microsoft Outlook,krunkton T,"February 16, 2019",3,why can not i block junk email on the mobile application,why cannot i block junk emails on the mobile application?,
631062,Microsoft Outlook,,"February 16, 2019",3,i can not find an option for printing any of my email,i can not find an option for printing any of my emails.,
631063,Microsoft Outlook,Wim Welsink,"February 14, 2019",2,doe not sync with the web application,does not sync with the web application.,
