id,appTitle,userName,date,score,text,original_text,bug_report
461332,Microsoft Outlook,Paul Carter,"March 27, 2019",1,completely unreliable mail notification do not worth spam filter are ineffective the calendar has to be one or the worst i have seen very poorly designed,Completely unreliable. mail notifications don't work.The spam filters are ineffective. The calendar has to be one or the worst I've seen. very poorly designed.,
461335,Microsoft Outlook,Shannon,"March 27, 2019",4,your old icon was better this look weird a an application,Your old icon was better. this looks weird as an app.,
461342,Microsoft Outlook,DHARMENDRA,"March 27, 2019",5,best useable and friendly,best useable and friendly,
461345,Microsoft Outlook,A Google User,"March 27, 2019",5,doe exactly what i need it for excellent,"does exactly what I need it for, excellent.",
461346,Microsoft Outlook,Ben Hipwell,"March 27, 2019",1,new logo look poor on circular icon,New logo looks poor on circular icons.,
461349,Microsoft Outlook,DEVI LAL Yadav,"March 27, 2019",5,it is very helpful application and also easy to use,It is very helpful app and also easy to use.,
461351,Microsoft Outlook,Marcos Magaña,"March 28, 2019",5,satisfies the need nice interface and run smoothly,"Satisfies the needs, nice interface and runs smoothly",
461354,Microsoft Outlook,John Malone,"March 28, 2019",5,awesome love it,awesome love it!.,
461355,Microsoft Outlook,A Google User,"March 28, 2019",4,clean consistent and interacts a much a i wish,"Clean, consistent and interacts as much as i wish.",
461358,Microsoft Outlook,A Google User,"March 28, 2019",4,work a expected no trouble,Works as expected. No troubles.,
461360,Microsoft Outlook,Mellenie Kasanredjo-Saimoen,"March 28, 2019",4,great application but better on the desktop,Great app but better on the desktop,
461361,Microsoft Outlook,Bobi Boekwa,"March 28, 2019",5,i like it cause it is very helpful at anytime when you are connected you can check your email easily it is very practical tk you so much,I like it cause it's very helpful at anytime when you are connected you can check your email easily ... it's very practical. Tk you so much.,
461364,Microsoft Outlook,Stelon Kwincy,"March 28, 2019",2,poor performance after update,Poor performance after update,
461369,Microsoft Outlook,Nabil AKROUD نبيل عكرود,"March 28, 2019",5,very good and helpful email client it would be fine if you add the possibility to categorize the appointment in the calendar,Very good and helpfull email client. it would be fine if you add the possibility to CATEGORIZE the appointments in the calendars. شكرا لكم,
461370,Microsoft Outlook,Nordic Queen,"March 28, 2019",5,i bought i hope this doe not go away when this expires in september a i need to receive my email make sure that doe not go away,I bought 365 I hope this does not go away when it expires in September as I need to receive my email make sure that doesn't go away,
461371,Microsoft Outlook,Karl Worrall,"March 28, 2019",5,work fine everytime all email in one application,"works fine everytime, all emails in one app.",
461372,Microsoft Outlook,Pam Ayers,"March 28, 2019",4,keep me on top of all exchange with my client,keeps me on top of all exchanges with my clients,
461373,Microsoft Outlook,prasad jain,"March 28, 2019",1,it is never notify any email,It's never notify any email.,
461375,Microsoft Outlook,A Google User,"March 28, 2019",5,user friendly flexible and versatile,User friendly. Flexible and versatile,
461378,Microsoft Outlook,Master Disaster,"March 28, 2019",5,great product leader in this day and age,great product leader in this day and age.,
461377,Microsoft Outlook,A Google User,"March 28, 2019",3,good when it work but every couple of month it doe work and i have to re install it,"good when it works, but every couple of months it does work and i have to re install it",
461380,Microsoft Outlook,A Google User,"March 28, 2019",1,continues a a frozen white screen,continues as a frozen white screen,
461381,Microsoft Outlook,A Google User,"March 28, 2019",5,great experience with this application,great experience with this App,
461382,Microsoft Outlook,Bearie Tan,"March 28, 2019",2,terrible application terrible application act up every other week either the sent box and all other option disappear or the application can not start at all have instal and deinstall umpteen time,terrible app. It acts up every other week! either the Sent box and all other options disappear... or the app can't start at all! have uninstall and reinstall umpteen times!!!,
461385,Microsoft Outlook,Pradeep neelam,"March 26, 2019",1,application was good till the recent update in march which is not letting the application to open the application just show white screen endlessly,"App was good till the recent update in March 2019, which is not letting the app to open, it just shows white screen endlessly.",
461387,Microsoft Outlook,ARMAN ANSARI,"March 26, 2019",4,i really like this application good,I really like this app good ⚒ 👍✌️,
461388,Microsoft Outlook,Kelly Zaagman,"March 26, 2019",5,easy to find info from whom sent it,easy to find info from whom sent it,
461389,Microsoft Outlook,rahul kaushal,"March 26, 2019",1,i getting error while opening outlook i am getting white screen only and the outlook application is hanging please resolve this issue a soon a possible current android version in my mobile,I getting error. while opening Outlook i am getting white screen only and the outlook app is hanging. please resolve this issue as soon as possible. current android version in my mobile - 7.0,
461390,Microsoft Outlook,A Google User,"March 26, 2019",1,it suck have been seeing issue time and again after the recent update it get hung up with a blank screen doe not open at all tried everything had issue in the past too when i was configuring my office email on outlook and every few day my office email just went on showing message saying wrong password entered too many time and deleted the account and i had to deinstall company portal and outlook all over again for the account to work only to find that the account would work only another few day before the account came bac,"it sucks have been seeing issues time and again. after the recent update, it gets hung up with a blank screen, does not open at all, tried everything. had issues in the past too when I was configuring my office email on outlook and every few days it just went on showing message saying wrong password entered too many times and deleted the account and I had to reinstall company portal and outlook all over again for it to work only to find that it would work only another few days before it came bac",
461391,Microsoft Outlook,A Google User,"March 26, 2019",1,keep crashing on my phone need to instal and deinstall every few day,keeps crashing on my phone. need to uninstall and reinstall every few days,
461394,Microsoft Outlook,KingGoldChainz 101,"March 26, 2019",1,doe not updated with my new phone,doesn't updated with my new phone,
461396,Microsoft Outlook,Roger Talbert,"March 26, 2019",5,i have been using it for many year it has always been easy to use and reliable,"I've been using it for many years, it has always been easy to use and reliable.",
461397,Microsoft Outlook,Samuel Agbaglo,"March 26, 2019",5,great user experience,Great user experience!,
461398,Microsoft Outlook,Po Tey,"March 26, 2019",5,thanks for so much,thanks for so much!,
461399,Microsoft Outlook,Sol,"March 26, 2019",5,feel good to be back my good old friend hot-air,"Feels good to be back my good old friend, hotmail!",
461403,Microsoft Outlook,Abul Hasanat Sekh,"March 26, 2019",1,not working fatal after recent update,not working atall after recent update,
