id,appTitle,userName,date,score,text,original_text,bug_report
396702,Microsoft Outlook,A Google User,"May 2, 2019",5.0,it is very functional and easily applied,It is very functional and easily applied.,
396703,Microsoft Outlook,Pravin Kelwada,"May 2, 2019",4.0,missing the print option,Missing the PRINT option.,
396704,Microsoft Outlook,Hamid Haghzare,"May 2, 2019",4.0,more stable update access to different cloud storage tried and tested ui my daily work email client,"More stable updates, access to different cloud storage, tried and tested ui. My daily work email client.",
396705,Microsoft Outlook,Gabe Hall,"May 2, 2019",5.0,easy to organise and the design is awesome,easy to organise and the design is awesome.,
396708,Microsoft Outlook,Grace Pierce,"May 2, 2019",5.0,this work for me with different email address all in one this is great wish i had not waited so long to try this,this works for me with 4 different email addresses all in one. it's great! wish i hadn't waited so long to try it.,
396709,Microsoft Outlook,Alyssa Logue,"May 2, 2019",5.0,it is so cool,it is so cool,
396706,Microsoft Outlook,David Cole,"May 2, 2019",1.0,newest update and now the application support ad lame,Newest update and now the app supports ads. Lame.,
396707,Microsoft Outlook,Maria Hopman,"May 2, 2019",5.0,a very good application worked great,A very good app worked great,
396710,Microsoft Outlook,Diego Stambuk,"May 2, 2019",1.0,it has ad now,it has ads now,
396712,Microsoft Outlook,Marvin Woods,"May 2, 2019",1.0,always asking for password that i can not remember then can not get in without hour of time spent,"always asking for password, that I can't remember, then can't get in without hours of time spent.",
396715,Microsoft Outlook,Michael Smith,"May 2, 2019",1.0,very limited application unable to change text format unable to set priority attachment appear a part of email text rather than seperate file just to name a few,"Very limited app. Unable to change Text format. Unable to set priority. Attachments appear as part of email text rather than seperate file, just to name a few",
396716,Microsoft Outlook,Lilibeth Pruett,"May 2, 2019",5.0,it is so secure,It is so secure!,
396713,Microsoft Outlook,Carmen Palles,"May 2, 2019",1.0,older email not found but found in the desktop version of outlook support has tried to help but no luck it should not be that hard to sync to my yahoo account,Older emails not found but found in the desktop version of Outlook. Support has tried to help but no luck. It shouldn't be that hard to sync to my Yahoo. account.,
396714,Microsoft Outlook,Marco Zawadzki,"May 2, 2019",5.0,work great and it is free,"works great, and it's free!",
396719,Microsoft Outlook,Johnny Gilliam,"May 2, 2019",5.0,a solid email application,A solid email application,
396722,Microsoft Outlook,Manoj Gupta,"May 2, 2019",4.0,excellent application to monitor office email,Excellent app to monitor office emails,
396723,Microsoft Outlook,Anne Marie Lalonde,"May 2, 2019",5.0,great and easy to get to,Great and easy to get to,
396724,Microsoft Outlook,Nadirah Ali,"May 2, 2019",5.0,wonderful i have always enjoyed this application on my desktop computer but now i have this application on my phone i love this application,Wonderful I have always enjoyed this app on my desktop computer but now I have it on my phone. I love it.,
396725,Microsoft Outlook,Henry Davila,"May 2, 2019",1.0,ad now come on,Ads now? Come on!,
396726,Microsoft Outlook,Mohamad Ridzuan Abdul Rashid,"May 2, 2019",4.0,email set a delayed delivery from outlook desktop are not since with outlook on web and mobile email set a delayed delivery from outlook desktop will not be sent if outlook desktop is currently not active by the time email set a delayed delivery from outlook desktop should be sent and will never be sent when overdue until you reopen the email from outlook desktop is out of and then resent email set a delayed delivery from outlook desktop again please do something about it so email set a delayed delivery from outlook desktop will be sent a scheduled even if outlook desktop is currently off,Emails set as delayed delivery from outlook desktop are not synced with outlook on web and mobile. Those emails will not be sent if outlook desktop is currently not active by the time the emails should be sent and will never be sent when overdue until you re-open the emails from outlook desktop's outbox and then re-send them again. Please do something about it so all emails will be sent as scheduled even if outlook desktop is currently off.,
396728,Microsoft Outlook,Edward Stemarthe,"May 2, 2019",5.0,the application is brilliant,the app is brilliant,
396729,Microsoft Outlook,Joann Kenny,"May 2, 2019",4.0,should be a way to minimize folder so i do not see all the sub-orders,Should be a way to minimize folders so I dont see all the sub-folders.,
396730,Microsoft Outlook,Sylvia Fowler,"May 2, 2019",2.0,have to restart application to refresh email,have to restart app to refresh emails,
396731,Microsoft Outlook,Kenny Ross,"May 2, 2019",5.0,very helpful thanks,very helpful thanks.,
396732,Microsoft Outlook,Denton Cantwell,"May 2, 2019",1.0,can not add multiple account since the most recent update i have two work account and need both on one phone i used to like this application a i could easily switch between both box since the most recent update it will only allow one to be logged in at a time not both like it used to allow this is seriously annoying since now i can only get notification for new email on one account or the other depending on which is logged in,"can't add multiple accounts since the most recent update. I have two work accounts and need both on one phone. i used to like this app as i could easily switch between both inboxes. since the update it will only allow one to be logged in at a time, not both like it used to allow. This is seriously annoying since now i can only get notifications for new emails on one account or the other depending on which is logged in.",
396734,Microsoft Outlook,Steve Stoneman,"May 2, 2019",1.0,uninstaled it from all my android device sick of all the singing failure even with my outlook account on office,"Uninstalled it from all my android devices. Sick of all the syncing failures, even with my outlook account on Office 365.",
396735,Microsoft Outlook,Skip Gumble,"May 2, 2019",4.0,need better email conversation sorting,Needs better email conversation sorting,
396738,Microsoft Outlook,Manuel Morales,"May 5, 2019",4.0,not include the boston for contact,not include the botton for contacts,
396740,Microsoft Outlook,eldy sack,"May 5, 2019",5.0,using this application quite sometimes to handle all my email until now and this application was working fine without trouble so quite satisfy,"using this application quite sometimes to handle all my email until now, and it was working fine without trouble so quite satisfy",
396741,Microsoft Outlook,nguyen tuong,"May 5, 2019",5.0,very good application can well help my job,Very good app can well help my job,
396742,Microsoft Outlook,Bhavya Gupta,"May 5, 2019",1.0,application is frequently crashing within minute of opening tried installing too but no luck,App is frequently crashing within minutes of opening. Tried reinstalling too but no luck.,
396745,Microsoft Outlook,Krahse Hisgn,"May 5, 2019",5.0,fabio work,"Fab,Good Work !",
396747,Microsoft Outlook,Amit Bharti,"May 5, 2019",3.0,the email signature should also be incorporated directly a on desktop outlook rest is fine,The email signature should also be incorporated directly as on desktop outlook. rest is fine,
396749,Microsoft Outlook,Miles Sikic,"May 5, 2019",5.0,after some time the outlook application is fast the outlook application just work perfectly with office glad i moved from mail it is easy and convenient,"After some time, the Outlook app is fast, it just works perfectly with Office 365. Glad I moved from Gmail. It's easy and convenient.",
396751,Microsoft Outlook,Happy Me,"May 5, 2019",5.0,v good n convenient,v good n convenient,
396756,Microsoft Outlook,Nhật Nguyễn Minh,"May 5, 2019",5.0,i like this application,I like this app,
396757,Microsoft Outlook,Matthew McFarland,"May 5, 2019",5.0,it get the job done,It gets the job done,
396760,Microsoft Outlook,NAJMUDDIN MADRASWALA,"May 5, 2019",5.0,take care of my requirement,Take care of my requirements..,
396761,Microsoft Outlook,MaryAnn Luna,"May 5, 2019",1.0,will not let you block unwanted sender,Won't let you block unwanted senders,
396762,Microsoft Outlook,Michael Rothstein,"May 5, 2019",5.0,great application for accessing work email using office and my personal hot-air account,Great app for accessing work email using Office 365 and my personal Hotmail account.,
