id,appTitle,userName,date,score,text,original_text,bug_report
208149,Snapchat,David Roberts,"May 12, 2019",2.0,only bad thing is the countless snap you will not see for some time because there is no option to put a sound notification on how am i supposed to know a snap arrived when my phone next to me and it doe not make a noise or even vibrate would be or with that,Only bad thing is the countless snaps you won't see for some time because there's no option to put a sound notification on. How am I supposed to know a snap arrived when my phones next to me and it doesn't make a noise or even vibrate. Would be 3 or 4 with that.,
208151,Snapchat,Ramana Thota,"May 12, 2019",3.0,can you please put an option to skip the detail at first,can you please put an option to skip the details at first.,
208155,Snapchat,Sienna Smith,"May 12, 2019",2.0,cool filter but literally do not get all of the filter that others get on others whether it be android or phone even if i close the application and reopen the application some of the filter that others get on theirs will disappear that suck,"cool filters but literally dont get all of the filters that others get on theirs. whether it be android or iphone. even if i close the app and reopen it, some of the filters will disappear... that sucks",
208156,Snapchat,Vladislav Galkin,"May 13, 2019",1.0,recent update is buggy and doe not provide what description promise,Recent update is buggy and doesn't provide what description promises.,
208154,Snapchat,Sawera Chaudhry,"May 12, 2019",5.0,love it,lOve'n it,
208159,Snapchat,Janjazen Ramos,"May 13, 2019",5.0,i love this application,i love this app,
208162,Snapchat,Dominador Martin,"May 13, 2019",1.0,can not install this application already what happened,Can't install this app already. What happened?,
208164,Snapchat,Rhett Fry,"May 13, 2019",5.0,it need to be updated it lag to much and some of the message will not send,"it needs to be updated, it lags to much and some of the messages won't send",
208166,Snapchat,Chloe Burket,"May 13, 2019",5.0,i love it i go on it everyday,I love it; i go on it everyday!!!,
208167,Snapchat,Monica Ramirez,"May 13, 2019",3.0,i had this before i remember having a dark theme but when i downloaded this there was no such feature when i looked this up the only result that came up involved hacking,"I had this before. I remember having a dark theme, but when I redownloaded it, there was no such feature. When I looked it up, the only results that came up involved hacking...",
208168,Snapchat,Harry potter,"May 13, 2019",5.0,great way to talk to and make new friend,great way to talk to and make new friends,
208174,Snapchat,Tejesh Rowthu,"May 13, 2019",4.0,it is just good,it's just good,
208175,Snapchat,Lady Kirsten Bacornay,"May 13, 2019",5.0,like due so good,like duhhh so good,
208179,Snapchat,Dean Mulryan,"May 13, 2019",5.0,brilliant bud well done aha,brilliant bud well done haha,
208177,Snapchat,Ricar DO,"May 13, 2019",3.0,on android the gender swap dose not work it only give you the lash no hair,on Android the gender swap dose not work it only gives u the lashes no hair,
208180,Snapchat,Angel Sexton,"May 13, 2019",5.0,it is so easy to access and it help connect me to others,it is so easy to acess and it helps connect me to others,
208183,Snapchat,Will Lumley,"May 13, 2019",1.0,terribly slow and lay and absolutely poor image quality relative to every other camera application,"Terribly slow and laggy, and absolutely poor image quality relative to every other camera app.",
208184,Snapchat,Ademolu latifat,"May 13, 2019",5.0,i do not like the formal snap i want another one,i dont like the formal snap . i want another one,
208187,Snapchat,Aidyn Bahantka,"May 13, 2019",5.0,the application is a great community device and great for getting contact of people also its very fun like creating your own bitmoji and trying new filter i have to give its a and a half rating,"the app is a great community device and great for getting contact of pepole, also its very fun like creating your own bitmoji and trying new filters! i have to give it a 4 and a half rateing👍",
208188,Snapchat,Erick Rangel,"May 13, 2019",4.0,keep kicking me out i can not read or send anything since the update,Keeps kicking me out. I can't read or send anything since the update.,
208189,Snapchat,sakura,"May 13, 2019",3.0,the new snap filter do not work for most android phone the new snap filter just work on phone which is unfair a hell,"the new snap filters dont work for most android phones- they just work on iPhone, which is unfair as hell",
208191,Snapchat,Melissa,"May 13, 2019",5.0,the new update is horrible the new update say opened min ago when they did not open the message and i also have trouble unloading video bring back the checkmate in the corner to delete or select more than one picvideo,The new update is horrible it says opened 5 mins ago when they didn't open the message and i also have trouble uploading videos. Bring back the checkmark in the corner to delete or select more than one pic/video.,
208192,Snapchat,Cory Beeson,"May 13, 2019",1.0,pixel application crash a few second into launching new filter,"Pixel 3, app crashes a few seconds into launching new filters.",
208195,Snapchat,paris Jackson,"May 13, 2019",1.0,wen i download it is only say instal so fix problem please thankyou,wen i download it is only says unstall so fix problem please thankyou,
208196,Snapchat,Oksana_july,"May 13, 2019",4.0,i wish instagram and snapshot have a baby but still i love it except some freeze,"I wish instagram and snapchat have a baby... But still i love it, except some freezes",
208199,Snapchat,I_ARE_ GROOTBOY,"May 13, 2019",1.0,the latest update stop you from sending pic in chat from memory why like there is no reason for it not to be there another example of the snap team not realypayung attention to what people want and instead just do random thing,the latest update stops you from sendinh pics in chat from memories. why? like there is no reason for it not to be there? another example of the snap team not reallypayung attention to what people want and instead just do random things,
208202,Snapchat,Sophia Steinmeyer,"May 13, 2019",5.0,edit they updated and now have more frequent update for android please please update for android it is not fair and inconsiderate for people with android please update also can you please add that you can zoom with front facing camera for android please also that you can switch the camera while taking a video thanks,"EDIT: They updated and now have more frequent updates for androids! Please please update for andriod, it's not fair and inconsiderate for people with androids. PLEASE UPDATE. Also can you please add that you can zoom with front facing camera for android Please. Also that you can switch the camera while taking a video. Thanks",
208203,Snapchat,V,"May 13, 2019",1.0,very lay and optimized on android,very laggy and unoptimized on android,
208204,Snapchat,A Google User,"May 13, 2019",5.0,i love snapshot i really love it period,I love Snapchat i really love it #periodddtttttt😚❤,
