id,appTitle,userName,date,score,text,original_text,bug_report
564044,WeChat,Nigel Mgodi,"April 30, 2019",1.0,can not sign up,cant sign up,
564045,WeChat,MarcellStar1 Gaming,"April 30, 2019",1.0,aplikasi control hp milk guy sibilant milk orang lain debut gas gun,aplikasi kontol! hp milik gua dibilang milik orang lain! jembut gak guna!,
564047,WeChat,Sanjay Naik,"April 30, 2019",1.0,worst application doe not logged worst application after signing up,worst app doesn't logged it after signing up,
564048,WeChat,Norbu Tseringg,"April 30, 2019",2.0,made in china not reliable at all,made in China.. not reliable at all..,
564050,WeChat,Faz Hafiz,"April 30, 2019",1.0,why my what bottle can not be used i not received any chat and throw any chat,why my wechat bottle cannot be used.. i cnnot received any chat and throw any chat,
564053,WeChat,sudipta mandal,"April 30, 2019",1.0,very very very very bad,very very very very bad,
564055,WeChat,wei anne,"April 30, 2019",1.0,account got banned without a valid reason suspicious activity and i could not urban account although i have like tried asking friend for help please fix,"account got banned without a valid reason ; ""suspicious activity"" . and I couldn't unban my account although I have like tried asking 4 friends for help. pls fix ://",
564056,WeChat,CM Lin,"April 30, 2019",3.0,on one rare occasion what suddenly frezeseven reinstallation can not solve theproblem,"On one rare occasion, wechat suddenly freezes。Even reinstallation cannot solve theproblem",
564059,WeChat,A Google User,"April 30, 2019",3.0,i amusing mi mixafter update to android no alert sound to set my what notification sound,"Im using Mi Mix,after update to android 8.0 no alert sound to set my wechat notification sound",
564060,WeChat,Technology Guru,"April 30, 2019",1.0,i am sending picture but she seeing duel picture how off displease help,I am sending 1 picture. But she seeing duel picture . How off this.plz help.,
564062,WeChat,hafiz akahbk,"April 30, 2019",1.0,you make return user feel horrible to use this aps again after year leave this aps it is a good chance to try this aps again but seem the application really not user friendly to welcome the application return user do research on how other application chat welcome other application return user i lost my interest to use this forever,"you make return user feel horrible to use this apps again. after 5 years leave the apps, it is a good chance to try it again. but seem the app really not user friendly to welcome its return user. do research on how other app chat welcome their return user. i lost my interest to use this FOREVER.",
564063,WeChat,Thần Huy,"April 30, 2019",2.0,sao by gi ko c chc ng churn tin big in tay by ad,sao bây giờ ko có chức năng chuyển tiền bằng vân tay vậy ad,
564068,WeChat,Zahir Hussain,"April 30, 2019",4.0,very good and useful when you chat with chinese people but one thing size of the application is too big,Very good and useful when you chat with Chinese people. But one thing... Size of the app is too big.,
564070,WeChat,"chris .,","April 30, 2019",1.0,unusable registration presumes security breach and lock out account recovery doe not work look like a sham application instal,unusable. Registration presumes 'security breach' and locks out. Account recovery doesn't work. Looks like a sham app. UNINSTALL,
564071,WeChat,Christopher Aziz,"April 30, 2019",1.0,can not set up account no recovery option,cant set up account. no recovery option,
564073,WeChat,usonghuang,"April 30, 2019",5.0,the best application for social and life,the best App for social and life,
564074,WeChat,Jack Uup,"April 30, 2019",1.0,always can not log in,always cant log in,
564077,WeChat,A Google User,"April 30, 2019",1.0,already two month i keep re install this what i still facing same problem i can see people nearby but the people nearby can not see me or greet me please help me to fix people,"Already two mnths i keep re install this wechat. i still facing same problem. i can see peole nearby , but the people nearby cannot see me or greet me. please help me to fix it.",
564078,WeChat,Xiaobao,"April 30, 2019",1.0,i have to give it more access to my phone let alone geographic limitation this version is way too much bigger than previous one,"I have to give it more access to my phone, let alone geographic limitations. this version is way too much bigger than previous ones.",
564079,WeChat,A Google User,"April 30, 2019",1.0,the worst application i would ever haveplease do not download tit is just a waste of your mobile data and time,The worst app I'd ever have.Pls do not download it.It is just a waste of your mobile data and time.,
564080,WeChat,zi yee,"April 30, 2019",1.0,update already lag serious,"Update alrdy, lag serious",
564082,WeChat,Chandan Middya,"April 30, 2019",1.0,world no barest application,world no 1 badest app,
564083,WeChat,Marek Kosmala,"April 30, 2019",1.0,unrealistic security check criterion,Unrealistic security check criteria.,
564089,WeChat,Thobekile Gwala Thobekile,"April 30, 2019",1.0,this application doe not work at all,this app doesn't work at all,
564092,WeChat,Arun Mudhartha,"April 30, 2019",2.0,punished due to frequent relocation and new phone number during period of unstable employment stopped trying since jan otherwise recommended for good value and ease of use,Punished due to frequent relocation and new phone numbers during period of unstable employment .. stopped trying since Jan 2019. Otherwise recommended for good value and ease of use.,
564093,WeChat,Lasitha Prabhash,"April 30, 2019",1.0,can not see notification for call and ims,can't see notifications for calla and IMs,
564098,WeChat,Honeygrace Estrafa,"April 30, 2019",5.0,i want this application,I want this app,
564101,WeChat,Sajju Shaikh. Sajju Shaikh,"April 29, 2019",4.0,good but need some change like opposite person seen our message or no that is our do not know and our should need to see opposite person online or online,Good but need some changes like opposite person seen our msg or no that's we don't know and we should need to see opposite person online or offline,
564102,WeChat,Bobby Cua,"April 29, 2019",1.0,do not make it complicated you fool keep on confirmation like a idiot you thought we remember who we friend daft application,Don't make it complicated u fooollll... Keep on confirmations like a idiot.. U thought we remember who our friend... Dafuq application,
564103,WeChat,Lung Vikernes,"April 29, 2019",1.0,this application suckcanot not sign up,This app suck...can't not sign up...,
564104,WeChat,Narinder Kumar,"April 29, 2019",1.0,it crashed while downloading,"It 'Crashed' while Downloading,.",
564105,WeChat,James Parco,"April 29, 2019",1.0,i just got back from using what but its not the same anymore you can not register without a help of a friend but its will not work so bad,I just got back from using wechat but its not the same anymore u cant register without a help of a friend but it wont work . so bad,
564112,WeChat,Donal Fitzpatrick,"April 29, 2019",1.0,set up account and immediately on first login account suspected of suspicious activity needed to verify using a friend already on what but i do not have anybody who us it useless uninstaled,"Set up account and immediately on first login account suspected of suspicious activity. Needed to verify using a friend already on WeChat but I don't have anybody who uses it. Useless, uninstalled.",
564113,WeChat,Metal100.2 Lee,"April 29, 2019",5.0,good application very good,good app.. very good,
564114,WeChat,Aikaw Rung,"April 29, 2019",5.0,great what is power useful in the world,Great! Wechat is power useful in the World.,
564118,WeChat,Carla Mont'Alvão,"April 29, 2019",5.0,o application quito mellor que o whatsit faz pagamentos transferncias tem gina personal etc,"O app é muito melhor que o WhatsApp. Faz pagamentos, transferências, tem página pessoal, etc.",
564119,WeChat,Rij Standoff2,"April 29, 2019",1.0,this application suck you can not even make a new account once you lost your account you can not make another,this app suck you cant even make a new account once you lost your account you cant make another,
564121,WeChat,Angelica Nacion,"April 29, 2019",1.0,i can not download it,I cant download it,
564125,WeChat,Nahom Geletta,"April 29, 2019",5.0,i love it,I love it!,
