id,appTitle,userName,date,score,text,original_text,bug_report
566746,WeChat,jaric lee,"March 31, 2019",1.0,please fix the notification problem,please fix the notification problem,
566749,WeChat,A Google User,"March 31, 2019",1.0,it clos wane i no te the sc,It closs wane I no te the sc,
566751,WeChat,Chheng Ly,"March 31, 2019",1.0,forget it it is damn hard even to create an account,forget it! it's damn hard even to create an account.,
566752,WeChat,A Google User,"March 31, 2019",1.0,the worst security verification application ever the worst security verification application is took too much time to verify security even also i can not verify my security for sign,the worst security verification app ever it's took too much time to verify security even also I can't verify my security for signup,
566753,WeChat,Jason Law,"March 31, 2019",1.0,stupid application ever the verification procedure is bloody stupid what sort of such delicious security needed why can not just send verification code to activate the account and that is the account what stupid nonsense asking friend to send temporary code stupid and lame,stupid app ever. the verification procedure is bloody stupid. what sort of such tedicious security needed? why cant just send verification code to activate the account and that's it. what stupid nonsense asking 2 friends to send temporary code. stupid and lame.,
566754,WeChat,Mike Lonas,"March 31, 2019",3.0,the application has difficulty detecting my internet connection,the app has difficulties detecting my internet connection,
566755,WeChat,Paris Jane,"March 31, 2019",1.0,blocked my account after two week tried unblocking nothing changed,"blocked my account after two weeks. tried unblocking, nothing changed",
566756,WeChat,Friae Ong,"March 31, 2019",3.0,latest version not allowed people to change the notification tone so awful the default notification tone,latest version not allowed people to change the notification tone... so awkful the default notification tone...,
566757,WeChat,A Google User,"March 31, 2019",1.0,failed to install i have tried installing several time just kept on wasting my internet plan,FAILED TO INSTALL..... I have tried installing several times just kept on wasting my internet plan,
566760,WeChat,A Google User,"March 31, 2019",2.0,the more upgrade the worse the more upgrade getsometime the more upgrade no stable with the phone always jammed when hang up time,"The more upgrade, the worse it gets.Sometime it no stable with the phone...It always jammed when hang up time...",
566761,WeChat,zarah espadilla,"March 31, 2019",5.0,very nice and useful aps,very nice and useful apps,
566762,WeChat,Yu Antonio,"March 31, 2019",5.0,all my friend are using what so this application is very useful for me,"all my friends are using WeChat, so this App is very useful for me.",
