id,appTitle,userName,date,score,text,original_text,bug_report
475875,WeChat,Philip Denatolio,"May 29, 2019",5.0,it is very interesting application is,it's very interesting App's,
475879,WeChat,Dmitry Volodin,"May 29, 2019",1.0,one of the rubbish software with the extra suspicious security feature after installation and usage for two day the rubbish software with the extra suspicious security feature noted me that my account is expired and i have to religion after religion they blocked my account without ability to unblock they recommend to use help friend log but how to fo help friend log if i have only one chinese friend living far away from me author of what you are sick of paranoia,"One of the rubbish software with the extra suspicious security features. After installation and usage for two days, the software noted me that my account is expired and i have to relogon. after relogon they blocked my acvount without ability to unblock. they recommend to use Help Friend Log. but how to fo it, if i have only one Chinese friend living far away from me? Authors of WeChat you are sick of paranoia!",
475880,WeChat,Thirumalaivasan,"May 29, 2019",4.0,its nice application to chat with ali really like this,its nice app to chat with all..i really like this😊😊,
475881,WeChat,Tam Nguyen,"May 29, 2019",1.0,rac tie toi kong the than ma doc,rac tiec toi khong the nhan ma duoc,
475882,WeChat,Elysa Ho,"May 29, 2019",2.0,no flashlight when notification,No flashlight when notification,
475883,WeChat,Fenix Mhau,"May 29, 2019",3.0,new update ruin dpi setting new update was working perfectly fine until but now everything look so big and changing text side to the smallest doe not help,new update ruins dpi settings. it was working perfectly fine until 7.0.4. but now everything looks so big and changing text siye to the smallest doesn't help.,
475884,WeChat,nonstopfox,"May 29, 2019",1.0,what want permission to access all your photo medium and file on this device agree to allow what to use all your data yeah sorry i do not think so that is a lot of permission for a messaging application not today china hawes already give you enough data a is,"""WeChat wants permissions to access all your photos, media, and files on this device."" ""agree to allow WeChat to use all your data."" yeah sorry... i don't think so, that's a lot of permissions for a messaging app. Not today china, Huawei already gives you enough data as is.",
475885,WeChat,Black Book,"May 29, 2019",1.0,always sign out automatically and unable to religion which is i do not know why this aps most probably not safe,always dign out automatically and unable to relogin which is i dont know why. This apps most probably not safe,
475887,WeChat,Asyraf Nor Hashim,"May 29, 2019",3.0,why did you limit the message in the bottle,Why did you limit the message in the bottle?,
475889,WeChat,MONALDO7,"May 29, 2019",1.0,it block me for no reason and i only use this account because i connected this account with pub,It blockee me for no reason and i only use this account because i connected it with PUBG.!!!,
475893,WeChat,Bill Brooks,"May 29, 2019",5.0,now if l can get it to install l tried it on my old phone l liked it,Now if l can get it to install l tried it on my old phne l liked it,
475895,WeChat,lily Lilychinhuingoh,"May 29, 2019",4.0,so far quite good aps but those sticker not updated even want to download new sticker can not found,so far quite good apps but those stickers not updated even wants to download new stickers cant found,
475897,WeChat,Myomimei Doordye,"May 29, 2019",1.0,received verification code from my phone verification code kept staring my phone number was not real,received averification code from my phone it kept staring my phone number was not real..,
475901,WeChat,Muhammad Fatihuddin,"May 29, 2019",1.0,stupid application success recover reset password via email but am not receive any email,stupid app. success recover reset password via email but iam not receive any email,
475902,WeChat,Joe F.,"May 29, 2019",1.0,profile set up is a mess i could not get past the second part of the security set up,Profile set up is a mess. I couldn't get past the second part of the security set up.,
475905,WeChat,jimmy htam,"May 29, 2019",5.0,i love to use what,I love to use WeChat.,
475906,WeChat,Shah Arshad,"May 29, 2019",1.0,use le application error to login and not good bad application do not install and waste your time,Use less app Error to login and not good bad app don't install and waste your time,
475907,WeChat,Azam mahabbah,"May 29, 2019",2.0,we need message in bottle why discard message,we need message in bottle why discard it ?,
475910,WeChat,Siegono Aygo,"May 29, 2019",1.0,block me without a reason,block me without a reason,
475912,WeChat,It's Smile,"May 25, 2019",1.0,i can not create an account and i do not know anybody that has wechathis is the worse,I cant create an account!! and i dont know anybody that has wechat!!this is the worse..,
475913,WeChat,Suva Lal Suthar,"May 25, 2019",5.0,i love this application thanks to what,I love this app.. Thx to wechat .,
475915,WeChat,Hamid Rashidi Nodeh,"May 25, 2019",5.0,dear please help me to active what after sign up appears a barco,"Dear, please help me to active WeChat! After singn up appears a Barcod 😢😢😢.",
475916,WeChat,Joshua Peter,"May 25, 2019",1.0,it always show scan qr to open account why i hate it i can not open it please help me,"it always shows scan qr to open account why i hate it , i cant open it please help me",
475917,WeChat,Rea Kaytharikyaw,"May 25, 2019",4.0,i just like it,I just like it...,
475918,WeChat,Arouj Khadija,"May 25, 2019",5.0,nice application nice online facility specially for those in china,nice app nice online facilities specially for those in China,
475920,WeChat,Ghulam arif,"May 25, 2019",5.0,good service provider best conactivety,Good services provider best conactivety,
475921,WeChat,Isaac Sommers,"May 25, 2019",1.0,a recent update cause the text box to prompt your name to be auto filled every time you are about to type which is very annoying please fix,a recent update causes the text box to prompt your name to be auto filled every time you're about to type which is very annoying. please fix,
475924,WeChat,Regino pratama,"May 25, 2019",1.0,ayah kenya man king of glory akin lansing di bloke dan mau unblock susan nerina verification code by sm ayah,payah kenapa maen KING OF GLORY akun langsung di blokir Dan Mau unblock susah nerima verification code by SMS. payaaaaaaahhhhhhhhhhhh,
475925,WeChat,Emil Love,"May 25, 2019",1.0,what is wrong with what i can not use look around no one see me there please fix this problem,what's wrong with wechat.. I cannot use look around... no one see me there.. please fix this problem...,
475928,WeChat,Wisdom Julius,"May 25, 2019",5.0,good and the best but mine is not yet working properly,good and the best but mine is not yet working properly,
475934,WeChat,prottoy khan,"May 25, 2019",2.0,in bangladesh i can not sign in,in bangladesh i can't sign in.,
475935,WeChat,Arafat Hossain,"May 25, 2019",5.0,goole is partial excellent application,Google is partial.. Excellent app..,
475936,WeChat,krishna mohan,"May 25, 2019",1.0,unable to login to my old acc do not have another person to scan the qr code to verify,unable to login to my old acc. Dont have another person to scan the QR code to verify.,
475937,WeChat,Atreyu Chiongson,"May 25, 2019",1.0,so difficult just to register,so difficult just to register!!!,
475938,WeChat,Johan Zhang,"May 25, 2019",1.0,can not sign up need friend had using what for a month to help new user,"can't sign up, need friends had using wechat for a month to help new user👎👎👎",
475939,WeChat,Rahul Suresh,"May 25, 2019",2.0,garbage application provides garbage quality of service voice call is slower than paper post i prefer email to this sorry excuse of an application,Garbage app. Provides garbage quality of service. Voice call is slower than paper post. I prefer e-mail to this sorry excuse of an app.,
475940,WeChat,Freddie Navas 纳智杰,"May 25, 2019",5.0,what is the best,Wechat is The Best...,
475942,WeChat,all in one tech boy,"May 25, 2019",5.0,just i install this application for i playing pub chinese version,Just I install this app for I playing pubg Chinese version,
475945,WeChat,Chandrakant Patil,"May 25, 2019",5.0,i downloaded it to login in game for peace and also using it very nice application,i downloaded it to login in Game For Peace And Also Using it. Very Nice App,
475947,WeChat,MIKEY'GOR,"May 25, 2019",4.0,fabulous this application is one of my best apt had most stuff just the theme suck only white got ta add some theme color man so ugly when just white do not match the green developer let get to work ill put start for it laugh out loud,Fabulouz... This app is one of my best appz.... Haz most stuff just the theme suckz... Only white... Gotta add some theme colorz man... So ugly whenz just white... Dont match the green... Developers let get to work! ... Ill put 5 starz for it lolz...,
475948,WeChat,alex red,"May 24, 2019",2.0,after update it has become very slow also it get closed suddenly it very irritating,"after update it has become very slow, also it get closed suddenly. its very irritating.",
475950,WeChat,Nosa Osbert,"May 24, 2019",1.0,can not pas security check and that is messed up,can't pass security check and that's messed up,
475951,WeChat,Henry Xu,"May 24, 2019",1.0,ui messed up since update doe follow android system dpi setting smallest width setting text are too big for my dpi display setting look super ugly the developer should be fired,UI messed up since 7.0.4 update. Doesnt follow Android system DPI setting smallest width settings! Text are too big for my 555dpi display settings looks super ugly. The developer should be fired!,
475952,WeChat,Laban pinas,"May 19, 2019",1.0,why i always block,why im always block :/,
475955,WeChat,Cliff Brown,"May 19, 2019",1.0,no support forgot my password could not get my password back could not change my password could not get any help to fix my password still can not,"No support, forgot my password, couldn't get it back, couldn't change it. couldn't get any help to fix it. still can't.",
475956,WeChat,Xahrah Muhammad,"May 19, 2019",1.0,the most horrible ridiculous application ever this what is so damn stupid to the extent that i got blocked time for no reason i opened it to communicate with the chinese for business purpose but whenever i sign it got blocked before hr i just have to sign up with different number but all in fernand when unblocking it this stupid policy of ask a friend to login for me was what made my anger to rise after all i am new on their stupid application how could that b possible,"the most horrible ridiculous app ever! this wechat is so damn stupid to the extent that I got blocked 4 times for no reason.. I opened it to communicate with the Chinese for business purposes but whenever I sign-up, it got blocked before 24hrs! I just have to sign up with 4 different numbers but all in vein!!and when unblocking it, this stupid policy of ask a friend to login for me was what made my anger to rise .... after all I'm new on their stupid app, how could that b possible ?!",
475958,WeChat,Kelzang Dawa,"May 19, 2019",5.0,it is very good and nice,it's very good and nice,
475959,WeChat,Rhenee Michelle Lao,"May 19, 2019",1.0,difficult to create account very tedious need friend verification,"difficult to create account, very tedious needs friend verification.",
475960,WeChat,Farzam Khonamri,"May 19, 2019",1.0,how the heck should i find someone who has installed what more than a month ago your security suck,How the heck should I find someone who has installed WeChat more than a month ago? ????? your security sucks,
475961,WeChat,Vincent B,"May 19, 2019",1.0,this is a big brother application that china us to persecute china people i highly recommend everyone to give this a one star and not support this,This is a big brother app that China uses to persecute their people. I highly recommend everyone to give it a one star and not support it.,
475962,WeChat,Siva Siva,"May 19, 2019",5.0,very good application can using,very good app. can using .,
475963,WeChat,Romain Lepage,"May 19, 2019",1.0,account blocked for no reason no way to unblock account stupid control freak,"account blocked for no reason, no way to unblock it. stupid control freaks",
475965,WeChat,joyce chia,"May 19, 2019",2.0,why is the wallet what pay function missing,why is the wallet / wechat pay function missing?,
