id,appTitle,userName,date,score,text,original_text,bug_report
29428,WhatsApp Messenger,khandesh khandeshi,"April 21, 2019",3.0,thank you for your time and consideration re and new i really are i will i look right to be mad at me for not bi i will be there at the,thank you for your time and consideration re And rew. I really r. I will. I look right to be mad at me for not bI. I will be there at the,
29430,WhatsApp Messenger,Mysterytwist ミステリーツイスト Mitsuitsuto,"April 19, 2019",1.0,i hate it it will not let me add anyone even if anyone have whatsit thats pissing me off everyone else can add people even the same contact i want to add but no it just will not let me it also will not let me add friend that live now in a different country and i do not know what to do with this application,i hate it it wont let me add anyone even if they have whatsapp thats pissing me off everyone else can add people even the same contacts i want to add but no it just wont let me it also wont let me add friends that live now in a diffirent country and i dont know what to do with this app,
29429,WhatsApp Messenger,Luna Sortz,"April 13, 2019",5.0,overall short thing to spear vast,Overall short things to speard vast,
29431,WhatsApp Messenger,Parth Popat,"April 13, 2019",2.0,bug good network connection but can not send or receiving message frequently happened with other friend also,Bug - good network connection but can't send or receiving messages. frequently happened with other friends also,
29433,WhatsApp Messenger,A Google User,"April 18, 2019",4.0,give the profile privacy like a a status privacy the particular contact will able to see the profile,"Give the profile privacy like as a status privacy, the particular contacts will able to see the profile",
29432,WhatsApp Messenger,Bedantika Royvjfcn,"April 19, 2019",5.0,it is a very good application it has become easy to communicate with someone even when the person is busy we can share video and interact,it is a very good app. it has become easy to communicate with someone even when the person is busy. We can share video and interact,
29434,WhatsApp Messenger,purnendu tudu,"April 19, 2019",5.0,now that is call a update now i do not have to open couture to watch a video i can do both now couture and typing great,"Now that's call a update.. Now i don't have to open YouTube, to watch a video... I can do both now, YouTube and typing... Great",
29435,WhatsApp Messenger,Madhu Devi,"April 12, 2019",1.0,not able to download image video and audio on my samsung galaxy on model kindly help,"not able to download images, videos and audios on my Samsung galaxy on7 model .....kindly help",
29436,WhatsApp Messenger,Royal Infinity,"April 12, 2019",1.0,my contact can not be access when press the view in adresbok nothing happen liz fix this for honor view,my contect cannot be access . when press the view in addressbook nothing happen pliz fix this for honor view20,
29438,WhatsApp Messenger,JL Nayak,"April 17, 2019",5.0,most useful application throwhich i have found my old classmate friend who were lost during my journey of life,"Most useful App thro'which I have found my old classmates, friends who were lost during my journey of life",
29437,WhatsApp Messenger,Juriaan Neethling,"April 18, 2019",1.0,we want new theme because not all of we like green and white please ad new theme please it would we very cool,we want new themes because not all of us like green and white please aad new themes please it would we very cool,
29439,WhatsApp Messenger,Jamal Ahmed,"April 11, 2019",3.0,now dating should be beneficial and not the loss before we can send message to twenty people if you can send it to five very bad updating,Now dating should be beneficial and not the loss before we can send messages to twenty people if you can send it to five very bad updating,
29440,WhatsApp Messenger,tik tok,"April 17, 2019",1.0,but tang kr rha hai whtsap message send ni hu why and status open ni hu why internet is working,bht tang kr rha hai whtsapp msg send ni hu rhy and status open ni hu rhy Internet is working,
29441,WhatsApp Messenger,Muhammed Inzamam,"April 16, 2019",3.0,status are not playing continues we have to go back and come again to load the video status maybe a bug,statuses are not playing continuesly we have to go back and come again to load the video statuses maybe a bug .,
29442,WhatsApp Messenger,Flavio Hernandez,"April 15, 2019",1.0,almost every time i exit a group a deleting message notification stay on the damn notification center and doe not go away unless i force stop,"Almost every time I exit a group a ""Deleting messages... "" notification stays on the damn Notifcations Center and doesn't go away unless I force stop.",
29443,WhatsApp Messenger,atta rasool,"April 18, 2019",3.0,baker last seen late poly ka show ho rha hta h jb ky wo insane bat kr rha hta h,bakwas h....last seen late phly ka show ho rha hta h jb ky wo insan bat kr rha hta h,
29445,WhatsApp Messenger,gunvant thorat,"April 14, 2019",5.0,this is good for sociality and democracy hidden news and information or great thought this application is voice of hidden india and useful for great thought sear on this application this application is useful for rewoloshion,"this is good for socsaity and democracy hiden news and information or great thought. this app is voice of Hiden India . and usefull for great thought sear on this app , this app is usafull for rewoloshion",
29446,WhatsApp Messenger,Satyam Kumar,"April 14, 2019",3.0,in viewed status if there are two status the the second one is become mute if my phone is in silent mode why,In viewed status if there are two status the the second one is become mute if my phone is in silent mode. why?,
29447,WhatsApp Messenger,She Draws 08,"April 16, 2019",5.0,there is no option of sending sticker in my whatsit even after installing no option of sending sticker in my whatsit please do something about no option of sending sticker in my whatsit,"There is no option of senfing sticker in my WhatsApp even after reinstalling it, please do something about it.",
29448,WhatsApp Messenger,Ravjot Singh Jot,"April 16, 2019",5.0,their is problem in whatsapstatus not satisfied,their is problem in whatsapp..statuss... not satisfied....,
29449,WhatsApp Messenger,Marya Ibnah,"April 14, 2019",2.0,it showing instal whatsit and download again i did it thousand time bt still can not open it please help me urgently,it showing uninstall whatsapp and download again.. i did it thousand times bt still can't open it😭😭😭😭 plz help me urgently,
29450,WhatsApp Messenger,satria juliaris,"April 14, 2019",3.0,video sama foot yang di karim janman auto compress dongribet whatsit ke panguna io,video sama foto yang di kirim jangan auto compress dong...ribet whatsapp ke pengguna ios,
29451,WhatsApp Messenger,Adewole Toba,"April 13, 2019",4.0,this is perhaps the best i application ever wish admits in group can have right to approve and censor post from member,This is perhaps the best IM app ever. Wish Admins in groups can have rights to approve and censor posts from members.,
29452,WhatsApp Messenger,Hossam A Abo Lubbad,"April 11, 2019",3.0,its and whatsit still sending image in low resolution come on guy we need to be able to send in hd quality,Its 2019 and whatsapp still sending images in low resolution!! Come on guys we need to be able to send in HD QUALITY,
29453,WhatsApp Messenger,EMERALD MINE CART AWESOME,"April 21, 2019",5.0,please remove gif picture search that is not appropriate for child,please remove gif picture search that's not appropriate for children,
