id,appTitle,userName,date,score,text,original_text,bug_report
7,WhatsApp Messenger,Umar Khan,"February 15, 2019",1.0,make this application to run in my mobile and may the update fast,Make this app to run in my mobile and may the update fast,
10,WhatsApp Messenger,,"February 13, 2019",1.0,la lambda en linea son buenas si se tien buena connection a internet en otto case solo son molested why la application no cinema con la open de no reciter lambda mediate la aplicacin,"Las llamadas en linea son buenas si se tiene buena coneccion a internet, en otro caso solo son molestas y la aplicacion no cuneta con la opción de no recibir llamadas mediante la aplicación.",
11,WhatsApp Messenger,Experto Vision,"February 15, 2019",5.0,best application to communicate,Best app to communicate,
14,WhatsApp Messenger,FahimSK324 Raceez,"February 13, 2019",1.0,whatsit has a problem and need to be install again,WhatsApp has a problem and need to be install again,
20,WhatsApp Messenger,Queen J,"February 16, 2019",4.0,you guy need some jamaican emosi like cream cracker and cheese please i am asking kindly nut love,You guys need some Jamaican emojis like cream crackers and cheese please I'm asking kindly. Nuff love,
15,WhatsApp Messenger,,"February 12, 2019",2.0,what about dark mode,What about dark mode ??,
22,WhatsApp Messenger,,"February 12, 2019",5.0,great application everyone i know is using it you guy are the best,great app everyone i know is using it. you guys are the BEST.,
23,WhatsApp Messenger,suresh balachendran,"February 12, 2019",5.0,no comment nice,no comment. nice,
16,WhatsApp Messenger,rohit arora,"February 13, 2019",1.0,what is beta version,what is beta versoin,
21,WhatsApp Messenger,jomet baby,"February 16, 2019",3.0,worst new version old was good,Worst new version. Old was good,
24,WhatsApp Messenger,shyam shrestha,"February 13, 2019",5.0,its very good aps but i can not instal in my mobile,its very good apps but i cant instal in my mobile,
25,WhatsApp Messenger,,"February 12, 2019",5.0,the file you picked was not a photo,the file you picked was not a photo,
34,WhatsApp Messenger,,"February 10, 2019",5.0,please edit da option forward mug at least contact or above and add the option that if net is on than v log out from what is application for all contactsand v do not receive any message in what is application like face-on,plz edit da option forward msgs at least 20 contacts or above and add the option that if net is on than v log out from what's app for all contacts.and v don't receive any msg in what's app like fb,
35,WhatsApp Messenger,Muzammil Sarwar Ahmad,"February 10, 2019",3.0,can not forward more than people,Can not forward more than 5 peoples.,
38,WhatsApp Messenger,Ayush Rai,"February 16, 2019",5.0,all great but one thing if you can do can you please add some kind of software so that android user can get new theme grin io theme because installing gb whatsit is not a good idea a it is not a certified one user might like changing user theme of whatsit accordingly with the theme associated with user phone or any look the user like,"All great but one thing if you can do. can you please add some kind of software so that android users can get new themes e.g IOS theme. because installing GB WhatsApp is not a good idea as it's not a certified one, Users might like changing their themes of WhatsApp accordingly with the theme associated with their phone or any look the they like.",
39,WhatsApp Messenger,AL Shahnaz,"February 9, 2019",4.0,need a blocking interval in whatsit example like muting for an hour or a week or a month not too much is so horibleno need of a lifelong blocking or permanent blockingthat is much not too much other feature are godthanks a lot,Neeed a blocking interval in whatsapp ...example like muting for an hour or a week or a month not tooo much....it's so horrible....No need of a lifelong blocking or permanent blocking.....that's much not too much... other features are good....thx a lot....,
40,WhatsApp Messenger,dinho licho,"February 16, 2019",1.0,it is and io are having update faster than android user nonsense,It's 2019 and IOS are having updates faster than Android users. nonsense,
41,WhatsApp Messenger,Virendra S Sisodiya,"February 8, 2019",4.0,where can i find my own post and comment on them in plenty of conversation whenever i need to where can i find video which are still to be downloaded,where can I find my own posts and comments on them in plenty of conversations whenever I need to ? where can I find videos which are still to be downloaded.,
42,WhatsApp Messenger,,"February 18, 2019",4.0,why ma format audio is not compatible to this application i hope you could do some feature,Why M4A format audio isn't compatible to this application. I hope you could do some features.,
43,WhatsApp Messenger,Jaikumar Kanojiya,"February 9, 2019",2.0,for last day i am updating mb update for same description,"for last 4 days i am updating 18 mb update for same discription 🙄,??",
44,WhatsApp Messenger,ejoo Ajmeri,"February 10, 2019",5.0,awesome application in social work easy to use fantastic,awesome app in social worl easy to use fantastic,
45,WhatsApp Messenger,Suman Paul,"February 12, 2019",3.0,i want a beta program for this application,I want a beta program for this app,
52,WhatsApp Messenger,Yours Games,"February 10, 2019",5.0,top level social chat application,TOP LEVEL SOCIAL CHAT APP,
56,WhatsApp Messenger,Abdul Subhan Gazzali,"February 11, 2019",5.0,dear developer thanks for this wonderful application this application support multilingual font so all can easy share the info in there own language i request you to upgrade this to advance level a when ever when some one write a message other than english when we select the message there must be a option to translate if anyone want to join the group by link admin must be notified if that person can be added or denied admin has to give approval for the group by link,"Dear Developer, Thanks for this wonderful application. This app support multilingual fonts, so all can easy share the info in there own language. I request you to upgrade this to advance level as, when ever when some one write a message other than English, when we select the message there must be a option to translate . if anyone wants to join the group by link, Admin must be notified, if that person can be added or denied. Admin has to give approval for those joining group by link.",
