id,appTitle,userName,date,score,text,original_text,bug_report
112321,WhatsApp Messenger,Pearl Asigbe,"May 21, 2019",5.0,it is a good and great application it help me to send message to my loved one,it is a good and great app. It helps me to send messages to my loved ones,
112330,WhatsApp Messenger,Makbulahmed Ansari,"May 21, 2019",5.0,thanks again for your help,thanks again for your help,
112334,WhatsApp Messenger,DEVKUMAR TRIPATHI,"May 21, 2019",1.0,stuck too much not possible to share photo quickly,stuck too much... not possible to share photos quickly.,
112336,WhatsApp Messenger,A Google User,"May 21, 2019",1.0,it is not even installed in my phone,It's not even installed in my phone,
112337,WhatsApp Messenger,Valsa philip,"May 21, 2019",5.0,very reliable application,"very reliable App,",
112338,WhatsApp Messenger,Srihari Maturi,"May 21, 2019",5.0,good application useful very much,"Good App, useful very much.",
112345,WhatsApp Messenger,Nhongo Solo,"May 21, 2019",1.0,too slow and jam,"too slow, and jams",
112348,WhatsApp Messenger,Marlene Hill,"May 21, 2019",4.0,i love using this application,I love using this app,
112349,WhatsApp Messenger,Elijah Tobi Lawal,"May 21, 2019",5.0,i do not know how to enter into the application,I do not know how to enter into the app,
112350,WhatsApp Messenger,Keletso Shege,"May 21, 2019",5.0,i can use this application to post status and so on,I can use this app to post status and so on,
112352,WhatsApp Messenger,Ramat Gautam,"May 21, 2019",2.0,sudhir baby hi teck bastin,sudhir babu hi teck basti,
112357,WhatsApp Messenger,A Google User,"May 21, 2019",5.0,it is good but please keep chat finding sitting please,it is good but plz keep chat hinding sitting plz 😔😔,
112359,WhatsApp Messenger,Voice Anyaoha,"May 21, 2019",5.0,it is been extremely helpful,it's been extremely helpful,
112362,WhatsApp Messenger,hasabkhan surani,"May 21, 2019",5.0,its very good application in my mobile,its very good application in my mobile .,
112369,WhatsApp Messenger,Vikas Yogeshwar,"May 14, 2019",5.0,these emosi were better in previous version,these 3 emojis 🙄😏😌 were better in previous version,
112376,WhatsApp Messenger,Nawfal Mauger,"May 14, 2019",5.0,very good service and value,very good service and value,
112371,WhatsApp Messenger,okoye chikelue,"May 14, 2019",5.0,simply the best messenger available,simply the best messenger available.,
112373,WhatsApp Messenger,addala lokesh,"May 14, 2019",5.0,better application to convey the best,better app to convey the best,
112388,WhatsApp Messenger,Trueburlent Laswage,"May 14, 2019",4.0,whatsit is great but my opinion is if you have banned u from other version such a gb and plus can not you make this original version like such a gb,Whatsapp is great but my opinion is if you have banned us from other versions such as GB and plus cant you make this original version like them?!,
112395,WhatsApp Messenger,Anjaiah Anji,"May 14, 2019",5.0,very good application i like whatsit application,very good app I like whatsup app,
112397,WhatsApp Messenger,A Google User,"May 14, 2019",5.0,it is a nice application to be connected with someone you want,It's a nice app to be connected with someone you want 💕💕💯💯,
